,nb_id,repo_id,err_in
0,1,165196403,no code
1,4,165196403,no code
2,6,165196403,no code
3,8,165196403,no code
4,13,165196403,no code
5,15,165196403,no code
6,22,165196403,no code
7,24,165196403,no code
8,28,165196403,no code
9,30,165196403,no code
10,34,165196403,no code
11,36,165196403,no code
12,39,165196403,no code
13,43,165196403,no code
14,57,165196403,no code
15,60,165196403,no code
16,62,165196403,no code
17,71,165196403,no code
18,74,165196403,no code
19,79,165196403,no code
20,87,165196403,no code
21,90,165196403,no code
22,91,165196403,no code
23,92,165196403,no code
24,94,165196403,no code
25,95,165196403,no code
26,99,165196403,no code
27,112,165199636,nb file
28,168,165203172,no code
29,169,165203172,no code
30,204,165206909,no code
31,223,165207856,no code
32,236,165207685,no code
33,237,165207685,no code
34,335,165205866,no code
35,348,165205866,no code
36,443,165205681,no code
37,474,165211401,no code
38,528,165218040,no code
39,544,165213352,filtered out
40,549,165217230,no code
41,558,165213748,no code
42,575,165219632,no code
43,608,165218145,no code
44,644,165223609,no code
45,645,165223609,no code
46,646,165223609,no code
47,648,165223609,no code
48,652,165223609,no code
49,653,165223609,no code
50,655,165223609,no code
51,658,165223609,no code
52,662,165223609,no code
53,711,165223752,no code
54,715,165223752,no code
55,719,165223752,no code
56,741,165230939,no code
57,748,165230939,no code
58,844,165231826,no code
59,891,165231826,no code
60,903,165231826,no code
61,919,165231826,no code
62,925,165231826,no code
63,934,165231826,no code
64,940,165231826,no code
65,1167,165231347,no code
66,1194,165233816,no code
67,1198,165233816,no code
68,1247,165230368,no code
69,1248,165230368,no code
70,1313,165237905,filtered out
71,1314,165237905,filtered out
72,1315,165237905,filtered out
73,1316,165237905,filtered out
74,1355,165241639,nb file
75,1362,165240954,no code
76,1364,165240954,no code
77,1376,165247739,no code
78,1377,165247739,no code
79,1378,165247739,no code
80,1380,165247739,no code
81,1381,165249629,has_author
82,1382,165249629,has_author
83,1602,165249116,has_author
84,1603,165249116,has_author
85,1606,165246161,no code
86,1645,165259086,has_author
87,1646,165259086,has_author
88,1658,165256358,no code
89,1659,165256358,no code
90,1660,165256358,no code
91,1662,165256358,no code
92,1666,165256358,no code
93,1667,165256358,no code
94,1669,165256358,no code
95,1672,165256358,no code
96,1676,165256358,no code
97,1687,165253702,no code
98,1697,165255265,no code
99,1705,165256990,no code
100,1717,165267444,no code
101,1742,165267444,no code
102,1743,165267444,no code
103,1756,165267444,no code
104,1763,165267444,no code
105,1770,165267444,no code
106,1780,165267444,no code
107,1818,165267444,no code
108,1842,165267444,no code
109,1860,165267444,no code
110,1877,165267444,no code
111,1884,165267444,no code
112,1885,165267444,no code
113,1927,165265130,no code
114,1933,165262758,no code
115,1934,165262758,no code
116,1940,165261645,no code
117,1941,165261645,no code
118,1942,165261645,no code
119,1947,165261645,no code
120,1948,165261645,no code
121,1949,165261645,no code
122,1990,165269065,no code
123,1991,165269065,no code
124,2109,165277579,no code
125,2110,165277579,no code
126,2157,165272707,no code
127,2158,165272707,no code
128,2160,165272707,no code
129,2162,165272707,no code
130,2196,165272707,no code
131,2209,165272707,no code
132,2214,165277414,no code
133,2215,165277414,no code
134,2223,165279501,has_reqtext
135,2230,165285764,no code
136,2237,165285764,no code
137,2309,165286186,no code
138,2317,165286186,no code
139,2431,165291443,no code
140,2432,165291443,no code
141,2441,165292820,no code
142,2560,165298503,has_author
143,2561,165298503,has_author
144,2562,165298503,has_author
145,2563,165298503,has_author
146,2596,165295918,no code
147,2599,165295918,no code
148,2635,165308861,no code
149,2663,165303756,no code
150,2686,165303756,nb file
151,2700,165306832,no code
152,2705,165306832,no code
153,2709,165306832,no code
154,2712,165306832,no code
155,2719,165306832,no code
156,2842,165311599,no code
157,2874,165310423,no code
158,2914,165316900,no code
159,2944,165322396,no code
160,2945,165322400,no code
161,2958,165322397,no code
162,2971,165320746,no code
163,2975,165320746,no code
164,2980,165320746,no code
165,2984,165320746,no code
166,2986,165320746,no code
167,2987,165320746,no code
168,2988,165320746,no code
169,2991,165320746,no code
170,2992,165320746,no code
171,2999,165320746,no code
172,3001,165320746,no code
173,3004,165320746,no code
174,3006,165320746,no code
175,3007,165320746,no code
176,3009,165320746,no code
177,3024,165319477,no code
178,3075,165324725,no code
179,3089,165324642,no code
180,3130,165330391,no code
181,3133,165330391,no code
182,3134,165330391,no code
183,3138,165330391,no code
184,3227,165327849,no code
185,3239,165328561,no code
186,3241,165328561,no code
187,3281,165334462,no code
188,3446,165340680,no code
189,3447,165340210,nb file
190,3507,165340941,no code
191,3530,165340941,no code
192,3531,165340941,no code
193,3542,165340941,no code
194,3547,165340941,no code
195,3553,165340941,no code
196,3561,165340941,no code
197,3596,165340941,no code
198,3616,165340941,no code
199,3633,165340941,no code
200,3649,165340941,no code
201,3655,165340941,no code
202,3656,165340941,no code
203,3755,165346947,no code
204,3760,165347613,no code
205,3778,165346854,no code
206,3786,165346854,no code
207,3788,165346854,no code
208,3845,165348559,no code
209,3850,165348559,no code
210,3851,165348559,no code
211,3861,165348559,no code
212,3903,165348559,no code
213,3972,165348559,nb file
214,3994,165348559,no code
215,4019,165348559,no code
216,4047,165348559,no code
217,4066,165348559,no code
218,4075,165348559,no code
219,4097,165348559,no code
220,4103,165348559,no code
221,4113,165348559,no code
222,4117,165348559,no code
223,4118,165348559,no code
224,4126,165348559,no code
225,4152,165348559,no code
226,4162,165348559,no code
227,4170,165348559,no code
228,4235,165348559,no code
229,4288,165348559,no code
230,4354,165348559,no code
231,4378,165348559,no code
232,4400,165348559,no code
233,4403,165348559,no code
234,4478,165351312,no code
235,4482,165351385,no code
236,4489,165351385,no code
237,4501,165351744,no code
238,4503,165351744,no code
239,4511,165351744,no code
240,4526,165351744,no code
241,4528,165351744,no code
242,4532,165351744,no code
243,4562,165351744,no code
244,4646,165351698,api
245,4655,165352005,no code
246,4657,165352005,no code
247,4669,165351760,no code
248,4676,165356243,no code
249,4740,165356511,no code
250,4751,165356823,no code
251,4752,165356823,no code
252,4826,165357636,no code
253,4827,165357636,no code
254,4871,165361827,no code
255,4931,165361716,no code
256,4967,165366897,no code
257,5008,165364508,no code
258,5011,165364508,no code
259,5012,165364508,no code
260,5014,165364508,no code
261,5016,165367061,no code
262,5186,165365844,no code
263,5216,165371349,has_author
264,5217,165371349,has_author
265,5218,165371349,has_author
266,5219,165371349,has_author
267,5233,165369878,no code
268,5241,165369878,no code
269,5256,165369534,no code
270,5260,165368812,num_commits
271,5262,165368812,no code
272,5264,165368812,no code
273,5268,165367949,no code
274,5307,165375142,no code
275,5312,165375142,no code
276,5313,165375142,no code
277,5316,165375142,no code
278,5317,165375142,no code
279,5318,165375142,no code
280,5346,165373643,nb file
281,5400,165380652,no code
282,5412,165380652,no code
283,5416,165380652,no code
284,5467,165378746,output_cell_prop
285,5467,165378746,image_prop
286,5480,165382756,no code
287,5482,165382756,no code
288,5495,165380407,num_commits
289,5539,165383542,no code
290,5591,165383260,no code
291,5619,165387672,no code
292,5677,165393196,no code
293,5678,165393196,no code
294,5681,165393196,no code
295,5686,165393196,no code
296,5687,165393196,no code
297,5690,165393196,no code
298,5693,165393196,no code
299,5699,165393196,no code
300,5702,165393196,no code
301,5708,165393196,no code
302,5710,165393196,no code
303,5719,165393196,no code
304,5722,165393196,no code
305,5724,165393196,no code
306,5727,165393196,no code
307,5728,165393196,no code
308,5732,165393196,no code
309,5736,165393196,no code
310,5737,165393196,no code
311,5761,165391815,no code
312,5762,165391815,no code
313,5822,165391612,no code
314,5826,165391612,no code
315,5844,165388817,no code
316,5918,165397882,no code
317,5924,165397882,no code
318,5926,165397882,no code
319,5930,165397882,no code
320,5934,165397882,no code
321,5935,165397882,no code
322,5937,165397882,no code
323,5946,165397882,no code
324,5951,165397882,no code
325,5953,165397882,no code
326,5955,165399847,no code
327,5956,165399847,no code
328,5957,165399847,no code
329,5959,165399847,no code
330,5963,165399847,no code
331,5964,165399847,no code
332,5966,165399847,no code
333,5969,165399847,no code
334,5973,165399847,no code
335,5987,165395556,nb file
336,6073,165400379,no code
337,6076,165400379,no code
338,6078,165400379,no code
339,6079,165400379,no code
340,6081,165400379,no code
341,6085,165400379,no code
342,6087,165400379,no code
343,6091,165400379,no code
344,6106,165402912,no code
345,6258,165407897,no code
346,6309,165413012,no code
347,6320,165415094,no code
348,6325,165415094,no code
349,6332,165417308,no code
350,6336,165417308,no code
351,6359,165414264,no code
352,6373,165414264,no code
353,6376,165414264,no code
354,6400,165414264,no code
355,6404,165414264,no code
356,6422,165414264,no code
357,6423,165414264,no code
358,6432,165414264,no code
359,6439,165414264,no code
360,6446,165414264,no code
361,6459,165414264,no code
362,6469,165414264,no code
363,6471,165414264,no code
364,6490,165414264,no code
365,6518,165414264,no code
366,6542,165414264,no code
367,6561,165414264,no code
368,6586,165414264,no code
369,6588,165414264,no code
370,6599,165414264,no code
371,6633,165414264,no code
372,6634,165414264,no code
373,6635,165414264,no code
374,6646,165414264,no code
375,6648,165414264,no code
376,6651,165414264,no code
377,6706,165414264,no code
378,6746,165415147,no code
379,6755,165415147,no code
380,6757,165415147,no code
381,6760,165415147,no code
382,6769,165415147,no code
383,6784,165415147,no code
384,6786,165415147,no code
385,6793,165415147,no code
386,6811,165415147,no code
387,6820,165415147,no code
388,6833,165415147,no code
389,6849,165415147,no code
390,6860,165415147,no code
391,6866,165415147,no code
392,6867,165415147,no code
393,6873,165415147,no code
394,6898,165415147,no code
395,6910,165415147,no code
396,6939,165415147,no code
397,6941,165415147,no code
398,6944,165415147,no code
399,6966,165415147,no code
400,6979,165415147,no code
401,6981,165415147,no code
402,7032,165422674,no code
403,7059,165419125,no code
404,7060,165419125,no code
405,7063,165419125,no code
406,7065,165419125,no code
407,7068,165419125,no code
408,7137,165426497,no code
409,7142,165426497,no code
410,7155,165425818,no code
411,7167,165425818,no code
412,7171,165428029,no code
413,7184,165426591,no code
414,7191,165426591,no code
415,7195,165426591,no code
416,7198,165426591,no code
417,7200,165426591,no code
418,7201,165426591,no code
419,7203,165426591,no code
420,7204,165426591,no code
421,7313,165433743,no code
422,7324,165432430,no code
423,7333,165434946,no code
424,7355,165435247,no code
425,7359,165435247,no code
426,7375,165435247,no code
427,7396,165435247,no code
428,7397,165435247,no code
429,7405,165435247,no code
430,7410,165433627,no code
431,7414,165433627,no code
432,7466,165440018,no code
433,7467,165440018,no code
434,7468,165440018,no code
435,7636,165436062,no code
436,7637,165436062,no code
437,7657,165439180,no code
438,7701,165439180,no code
439,7863,165439180,no code
440,7908,165439180,no code
441,7926,165439180,no code
442,8010,165439180,no code
443,8049,165439180,no code
444,8192,165439180,no code
445,8247,165439180,no code
446,8282,165439180,no code
447,8300,165439180,no code
448,8353,165439180,no code
449,8544,165439180,no code
450,8635,165444058,no code
451,8640,165444058,no code
452,8661,165444058,no code
453,8663,165444058,no code
454,8674,165444058,no code
455,8676,165444058,no code
456,8678,165444058,no code
457,8709,165444058,no code
458,8724,165444058,no code
459,8727,165444058,no code
460,8729,165444058,no code
461,8743,165444058,no code
462,8757,165444058,no code
463,8808,165444061,nb file
464,8858,165441655,no code
465,8892,165446407,no code
466,8961,165448103,no code
467,8967,165448103,no code
468,8989,165445281,no code
469,9080,165450355,no code
470,9084,165450355,no code
471,9085,165450355,no code
472,9086,165450355,no code
473,9088,165450355,no code
474,9089,165450355,no code
475,9090,165450355,no code
476,9093,165450355,no code
477,9101,165450355,no code
478,9106,165449541,no code
479,9143,165454933,nb file
480,9205,165453574,no code
481,9214,165453574,no code
482,9220,165459577,no code
483,9232,165459442,output_cell_prop
484,9232,165459442,image_prop
485,9248,165456076,api
486,9249,165456076,api
487,9250,165456076,api
488,9251,165456076,api
489,9252,165456076,api
490,9253,165456076,api
491,9254,165456076,api
492,9255,165456076,api
493,9256,165456076,api
494,9257,165456076,api
495,9258,165456076,api
496,9259,165456076,api
497,9260,165456076,api
498,9261,165456076,api
499,9262,165456076,api
500,9352,165460255,no code
501,9411,165461154,no code
502,9460,165465520,no code
503,9478,165465520,no code
504,9567,165466891,no code
505,9596,165469297,no code
506,9599,165467886,no code
507,9600,165467886,no code
508,9625,165469135,no code
509,9629,165469135,no code
510,9635,165469135,no code
511,9640,165469135,no code
512,9641,165469135,no code
513,9650,165469135,no code
514,9651,165469135,no code
515,9657,165469135,no code
516,9662,165469135,no code
517,9667,165469135,no code
518,9669,165469135,no code
519,9680,165469135,no code
520,9714,165470602,no code
521,9720,165471399,no code
522,9723,165471399,no code
523,9871,165474063,image_prop
524,9918,165473957,no code
525,9948,165472911,no code
526,9957,165472911,no code
527,9965,165472911,no code
528,9967,165472911,no code
529,9971,165472911,no code
530,9974,165472911,no code
531,9975,165472911,no code
532,9977,165472911,no code
533,9986,165472911,no code
534,10122,165474418,no code
535,10151,165477868,has_author
536,10152,165477868,has_author
537,10153,165477868,has_author
