,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
79,106,165198456,False,0.9309105542141926,0.3636363636363637,1.0,0.0,True,True,3.0,0.5454545454545454,0.75,4.5,False,False,2.0,False,False,False,1.0
81,108,165197188,False,1.0,0.56,1.0,0.0,True,True,1.0,0.0,1.0,1.9130434782608696,False,False,6.0,False,False,False,1.0
88,116,165201963,False,1.0,0.6666666666666666,1.0,0.1875,True,True,1.0,0.04166666666666666,1.0,1.2272727272727273,False,False,8.0,False,False,False,0.0
89,117,165200414,False,1.0,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,True,0.0,False,False,False,0.0
92,120,165200582,False,1.0,0.5454545454545454,0.0,0.8333333333333334,False,True,2.0,0.0,1.0,1.2222222222222223,False,True,0.0,False,False,False,0.0
95,123,165202476,False,1.0,0.4791666666666667,1.0,0.13043478260869565,True,True,1.0,1.0,1.0,0.0,False,True,27.0,False,False,False,0.0
98,126,165196460,False,0.9672154317139592,0.9375,1.0,0.0,False,True,1.0,0.0,1.0,1.7096774193548387,False,False,0.0,False,False,False,0.0
114,142,165198342,False,0.9396148996086272,0.7777777777777778,1.0,0.7428571428571429,True,True,6.0,0.0,1.0,1.1162790697674418,False,False,0.0,False,False,False,0.0
115,143,165199451,False,0.8978268660606653,0.25,1.0,0.0,True,True,1.0,0.25,0.5,3.5,False,True,2.0,False,False,False,0.0
118,146,165198613,False,1.0,0.7727272727272727,1.0,0.4117647058823529,False,True,1.0,0.0,1.0,3.0,False,False,0.0,False,False,False,0.0
120,148,165202414,False,1.0,1.0,1.0,0.7777777777777778,False,True,1.0,0.0,1.0,1.75,False,False,0.0,False,False,False,0.0
123,151,165198126,False,1.0,0.8181818181818182,1.0,1.0,True,True,3.0,0.0,0.8888888888888888,2.555555555555556,False,False,0.0,False,False,False,0.0
132,160,165197159,False,1.0,0.7142857142857143,1.0,0.28,False,True,1.0,0.0,0.8787878787878788,3.121212121212121,False,False,0.0,False,False,False,0.0
138,166,165197278,False,1.0,0.6,1.0,0.25,False,True,1.0,0.4,0.9090909090909092,6.2727272727272725,False,True,0.0,False,False,False,0.0
168,198,165206909,False,0.979395559059306,0.4827586206896552,1.0,0.9285714285714286,True,True,1.0,0.0,1.0,1.3333333333333333,False,False,7.0,False,False,False,139.0
192,224,165207856,False,1.0,0.0,2.0,0.0,True,False,3.0,0.2,1.0,0.0,False,False,0.0,False,False,False,7.0
198,230,165204616,False,0.9597880479748622,0.4,1.0,0.8333333333333334,False,True,1.0,0.0,1.0,1.5384615384615383,False,False,4.0,False,False,False,7.0
203,235,165207685,False,1.0,0.0,0.0,0.0,True,False,1.0,0.0,1.0,0.0,False,False,0.0,False,False,False,1.0
213,247,165211868,False,0.9978587388811136,0.38461538461538464,1.0,0.4222222222222222,False,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,0.0
244,278,165204691,False,0.989940449996676,0.14285714285714285,1.0,0.0,True,True,1.0,0.2857142857142857,1.0,1.25,False,False,0.0,False,False,False,1.0
252,286,165212274,False,1.0,0.6,1.0,0.3333333333333333,True,True,1.0,0.0,1.0,1.0,False,False,11.0,False,False,False,1.0
253,287,165205913,False,1.0,0.4871794871794872,0.0,0.4736842105263158,True,True,1.0,0.0,1.0,1.3333333333333333,False,True,0.0,False,False,False,1.0
262,296,165210812,False,1.0,0.5238095238095238,1.0,0.0,False,True,1.0,1.0,1.0,0.0,False,True,1.0,False,False,False,1.0
264,298,165211890,False,1.0,0.25882352941176473,0.0,0.3181818181818182,False,True,1.0,0.0,0.9705882352941176,3.8235294117647056,True,True,5.0,False,False,False,0.0
274,308,165205866,False,0.9979248149669508,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,9.0,False,False,False,0.0
340,376,165207372,False,0.9895072238704978,0.5714285714285714,1.0,0.25,False,True,1.0,0.0,1.0,1.2,False,False,0.0,False,False,False,0.0
374,410,165204037,False,0.994880815087076,0.4044943820224719,1.0,0.3611111111111111,True,True,4.0,0.0,0.9318181818181818,3.704545454545455,False,False,11.0,False,False,False,0.0
392,428,165207966,False,1.0,0.7692307692307693,1.0,0.2,False,False,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,0.0
393,429,165205681,False,0.9770658338137505,0.6851851851851852,1.0,0.32432432432432434,True,True,0.0,0.0,0.8653846153846154,10.576923076923077,True,False,21.0,True,False,False,0.0
426,463,165208407,False,0.9593675036029536,0.4117647058823529,1.0,0.21428571428571427,True,True,1.0,0.0,0.85,38.2,False,True,7.0,False,False,False,0.0
437,475,165211401,False,0.9726026475358536,0.1875,1.0,0.0,False,True,1.0,0.125,0.8,2.8,True,True,15.0,False,False,False,0.0
451,489,165208259,False,1.0,0.6428571428571429,1.0,0.2222222222222222,True,True,2.0,0.0,0.9166666666666666,1.6666666666666667,False,False,3.0,True,False,False,0.0
457,495,165205384,False,1.0,0.5151515151515151,0.0,0.05882352941176471,False,True,4.0,0.0,0.9032258064516128,5.548387096774193,False,True,2.0,False,False,False,0.0
473,511,165215714,False,0.9852961577866192,0.7142857142857143,1.0,0.85,False,True,1.0,0.0,0.9166666666666666,41.833333333333336,True,False,0.0,False,False,False,1.0
474,512,165215476,False,1.0,0.9487179487179488,1.0,0.2972972972972973,True,True,1.0,0.0,0.9473684210526316,3.2894736842105265,False,False,0.0,False,False,False,1.0
476,514,165220095,False,1.0,0.4084507042253521,1.0,0.13793103448275862,False,True,1.0,1.0,1.0,0.0,False,False,4.0,False,False,False,1.0
486,524,165213861,False,0.9538668284977756,0.6862745098039216,1.0,0.8285714285714286,False,True,1.0,0.0,0.7959183673469388,32.714285714285715,False,False,9.0,False,False,False,1.0
487,525,165221517,False,1.0,0.3469387755102041,1.0,0.0,True,True,1.0,0.6122448979591837,0.8333333333333334,8.472222222222221,True,False,2.0,False,False,False,1.0
488,526,165218040,False,1.0,0.9052631578947368,0.0,0.313953488372093,True,True,1.0,0.0,1.0,1.0,True,False,0.0,False,False,False,1.0
492,531,165212759,False,0.9955252654698408,0.8823529411764706,0.0,0.4,False,True,1.0,0.0,0.5625,40.3125,True,True,14.0,False,False,False,1.0
500,539,165218946,False,1.0,0.25,1.0,0.3333333333333333,True,False,1.0,0.0,0.9090909090909092,2.5454545454545454,False,False,8.0,False,False,False,0.0
505,545,165220518,False,1.0,0.8172043010752689,1.0,0.0,True,True,1.0,0.13978494623655913,0.9090909090909092,5.6103896103896105,True,False,2.0,False,False,False,0.0
506,546,165221515,False,1.0,0.0,1.0,0.0,True,True,1.0,0.972972972972973,1.0,0.0,False,True,12.0,False,False,False,0.0
508,548,165217230,False,0.9858282142472248,0.7578947368421053,1.0,0.0,False,True,9.0,0.0,0.8478260869565217,9.880434782608695,True,False,1.0,False,True,False,0.0
517,559,165213748,False,1.0,0.0,1.0,0.0,True,True,3.0,1.0,1.0,0.0,False,False,4.0,False,False,False,0.0
533,576,165219632,False,0.9952063341023546,0.8181818181818182,1.0,0.0,True,True,1.0,0.0,0.7777777777777778,3.111111111111111,True,False,11.0,False,False,False,0.0
536,579,165218087,False,0.9985153795341244,0.14285714285714285,1.0,0.0,True,False,1.0,0.8571428571428571,1.0,0.0,False,False,0.0,False,False,False,0.0
561,604,165214064,False,1.0,0.03225806451612903,1.0,0.0,False,True,1.0,0.03225806451612903,1.0,1.0,True,True,10.0,False,False,False,0.0
562,605,165216800,False,0.9986283584479424,0.6309523809523809,1.0,0.37735849056603776,True,True,2.0,0.011904761904761904,0.9634146341463414,3.5121951219512195,False,False,3.0,False,False,False,0.0
564,607,165218145,False,0.9911020420509744,0.5223880597014925,1.0,0.11428571428571427,True,True,1.0,0.022388059701492536,0.7876106194690266,33.079646017699105,True,True,13.0,False,False,False,0.0
573,617,165219518,False,0.965725189360919,0.6086956521739131,1.0,0.5,False,True,1.0,1.0,1.0,0.0,False,True,10.0,False,False,False,0.0
575,619,165220711,False,1.0,0.6170212765957447,1.0,0.0,True,True,1.0,0.10638297872340426,0.951219512195122,3.2926829268292686,False,True,19.0,False,False,False,0.0
579,623,165225230,False,1.0,0.5490196078431373,1.0,0.19642857142857145,True,True,1.0,0.04901960784313725,1.0,1.0210526315789474,True,False,13.0,True,False,False,2.0
