nb_id,repo_id,err_in
1,165196403,no code
4,165196403,no code
6,165196403,no code
8,165196403,no code
13,165196403,no code
15,165196403,no code
22,165196403,no code
24,165196403,no code
28,165196403,no code
30,165196403,no code
34,165196403,no code
36,165196403,no code
39,165196403,no code
43,165196403,no code
57,165196403,no code
60,165196403,no code
62,165196403,no code
71,165196403,no code
74,165196403,no code
79,165196403,no code
87,165196403,no code
90,165196403,no code
91,165196403,no code
92,165196403,no code
94,165196403,no code
95,165196403,no code
99,165196403,no code
112,165199636,nb file
168,165203172,no code
169,165203172,no code
204,165206909,no code
223,165207856,no code
236,165207685,no code
237,165207685,no code
335,165205866,no code
348,165205866,no code
443,165205681,no code
474,165211401,no code
528,165218040,no code
544,165213352,filtered out
549,165217230,no code
558,165213748,no code
575,165219632,no code
608,165218145,no code
644,165223609,no code
645,165223609,no code
646,165223609,no code
648,165223609,no code
652,165223609,no code
653,165223609,no code
655,165223609,no code
658,165223609,no code
662,165223609,no code
711,165223752,no code
715,165223752,no code
719,165223752,no code
741,165230939,no code
748,165230939,no code
844,165231826,no code
891,165231826,no code
903,165231826,no code
919,165231826,no code
925,165231826,no code
934,165231826,no code
940,165231826,no code
1167,165231347,no code
1194,165233816,no code
1198,165233816,no code
1247,165230368,no code
1248,165230368,no code
1313,165237905,filtered out
1314,165237905,filtered out
1315,165237905,filtered out
1316,165237905,filtered out
1355,165241639,nb file
1362,165240954,no code
1364,165240954,no code
1376,165247739,no code
1377,165247739,no code
1378,165247739,no code
1380,165247739,no code
1381,165249629,has_author
1382,165249629,has_author
1602,165249116,has_author
1603,165249116,has_author
1606,165246161,no code
1645,165259086,has_author
1646,165259086,has_author
1658,165256358,no code
1659,165256358,no code
1660,165256358,no code
1662,165256358,no code
1666,165256358,no code
1667,165256358,no code
1669,165256358,no code
1672,165256358,no code
1676,165256358,no code
1687,165253702,no code
1697,165255265,no code
1705,165256990,no code
1717,165267444,no code
1742,165267444,no code
1743,165267444,no code
1756,165267444,no code
1763,165267444,no code
1770,165267444,no code
1780,165267444,no code
1818,165267444,no code
1842,165267444,no code
1860,165267444,no code
1877,165267444,no code
1884,165267444,no code
1885,165267444,no code
1927,165265130,no code
1933,165262758,no code
1934,165262758,no code
1940,165261645,no code
1941,165261645,no code
1942,165261645,no code
1947,165261645,no code
1948,165261645,no code
1949,165261645,no code
1990,165269065,no code
1991,165269065,no code
2109,165277579,no code
2110,165277579,no code
2157,165272707,no code
2158,165272707,no code
2160,165272707,no code
2162,165272707,no code
2196,165272707,no code
2209,165272707,no code
2214,165277414,no code
2215,165277414,no code
2223,165279501,has_reqtext
2230,165285764,no code
2237,165285764,no code
2309,165286186,no code
2317,165286186,no code
2431,165291443,no code
2432,165291443,no code
2441,165292820,no code
2560,165298503,has_author
2561,165298503,has_author
2562,165298503,has_author
2563,165298503,has_author
2596,165295918,no code
2599,165295918,no code
2635,165308861,no code
2663,165303756,no code
2686,165303756,nb file
2700,165306832,no code
2705,165306832,no code
2709,165306832,no code
2712,165306832,no code
2719,165306832,no code
2842,165311599,no code
2874,165310423,no code
2914,165316900,no code
2944,165322396,no code
2945,165322400,no code
2958,165322397,no code
2971,165320746,no code
2975,165320746,no code
2980,165320746,no code
2984,165320746,no code
2986,165320746,no code
2987,165320746,no code
2988,165320746,no code
2991,165320746,no code
2992,165320746,no code
2999,165320746,no code
3001,165320746,no code
3004,165320746,no code
3006,165320746,no code
3007,165320746,no code
3009,165320746,no code
3024,165319477,no code
3075,165324725,no code
3089,165324642,no code
3130,165330391,no code
3133,165330391,no code
3134,165330391,no code
3138,165330391,no code
3227,165327849,no code
3239,165328561,no code
3241,165328561,no code
3281,165334462,no code
3446,165340680,no code
3447,165340210,nb file
3507,165340941,no code
3530,165340941,no code
3531,165340941,no code
3542,165340941,no code
3547,165340941,no code
3553,165340941,no code
3561,165340941,no code
3596,165340941,no code
3616,165340941,no code
