------------- CLUSTER 1 ------------------- tutorials?
     nb_id    repo_id                                          nb_name                                                 repo_name                                                                                                    filepath  filtered                                                                                               nb_path
120    120  165200582                   pyber_starter-checkpoint.ipynb                                   aaronzhou926/Matplotlib                                                   aaronzhou926~Matplotlib_nb/pyber_starter-checkpoint.ipynb     False                                               Pyber/.ipynb_checkpoints/pyber_starter-checkpoint.ipynb
126    126  165196460                numpy-array-index-operation.ipynb               KivenLing/Basic-Machine-Learning-Algorithms                            KivenLing~Basic-Machine-Learning-Algorithms_nb/numpy-array-index-operation.ipynb     False                                                 basic-use/numpy-use/numpy-array-index-operation.ipynb
146    146  165198613                                     Basics.ipynb                                          jaymzhu/fandango                                                                            jaymzhu~fandango_nb/Basics.ipynb     False                                                                                          Basics.ipynb
148    148  165202414             Frequency table and chi-square.ipynb             RanjithRShetty/Frequency-table-and-chi-square                       RanjithRShetty~Frequency-table-and-chi-square_nb/Frequency table and chi-square.ipynb     False                                                                  Frequency table and chi-square.ipynb
160    160  165197159                                 Statistics.ipynb                                     PrabhakaraBG23/Python                                                                   PrabhakaraBG23~Python_nb/Statistics.ipynb     False                                                                                      Statistics.ipynb
166    166  165197278                       Dog_breed_prediction.ipynb                            mahir1995/dog-breed-prediction                                                mahir1995~dog-breed-prediction_nb/Dog_breed_prediction.ipynb     False                                                                            Dog_breed_prediction.ipynb
230    230  165204616                             Error_analysis.ipynb                         EvgenyKashin/signate_segmentation                                                   EvgenyKashin~signate_segmentation_nb/Error_analysis.ipynb     False                                                                                  Error_analysis.ipynb
247    247  165211868  vsb_spectrogram_sz600_cmap_tests_20190124.ipynb                   adriangrepo/partial_discharge_detection                  adriangrepo~partial_discharge_detection_nb/vsb_spectrogram_sz600_cmap_tests_20190124.ipynb     False                                                    dl/vsb_spectrogram_sz600_cmap_tests_20190124.ipynb
296    296  165210812    sentiment_analysis_mlp_toxicity_dataset.ipynb                         knitemblazor/senti-kaggle-dataset                          knitemblazor~senti-kaggle-dataset_nb/sentiment_analysis_mlp_toxicity_dataset.ipynb     False                                                         sentiment_analysis_mlp_toxicity_dataset.ipynb
298    298  165211890                                 Ensembling.ipynb                         angelodavido/Rossmann-Store-Sales                                                       angelodavido~Rossmann-Store-Sales_nb/Ensembling.ipynb     False                                                                                      Ensembling.ipynb
376    376  165207372                  Convolutional_Autoencoder.ipynb                                 artcoderj/coding_practice                                                artcoderj~coding_practice_nb/Convolutional_Autoencoder.ipynb     False                                                             ai_visual/Convolutional_Autoencoder.ipynb
428    428  165207966                              Random Forest.ipynb                              RanjithRShetty/Random-Forest                                                         RanjithRShetty~Random-Forest_nb/Random Forest.ipynb     False                                                                                   Random Forest.ipynb
495    495  165205384    Song lyrics for Robyn from azlyrics.com.ipynb                           steffmul/SpicedAcademy_Projects                            steffmul~SpicedAcademy_Projects_nb/Song lyrics for Robyn from azlyrics.com.ipynb     False                                                         Song lyrics for Robyn from azlyrics.com.ipynb
