------------- CLUSTER 1 -------------------
     nb_id    repo_id                                                    nb_name                                         repo_name                                                                                                       filepath  filtered                                                                                                                                         nb_path
106    106  165198456                                       boston_housing.ipynb           Oziomajnr/PredictingBostonHousingPrices                                                Oziomajnr~PredictingBostonHousingPrices_nb/boston_housing.ipynb     False                                                                                                                            boston_housing.ipynb
108    108  165197188                                  Untitled-checkpoint.ipynb   Surya-Prakash-Reddy/Movie-Review-Classification                                   Surya-Prakash-Reddy~Movie-Review-Classification_nb/Untitled-checkpoint.ipynb     False                                                                                                    .ipynb_checkpoints/Untitled-checkpoint.ipynb
116    116  165201963                               exploring_word_vectors.ipynb                      xin-w8023/cs224n-2019-winter                                                   xin-w8023~cs224n-2019-winter_nb/exploring_word_vectors.ipynb     False                                                                                                              a1/a1/exploring_word_vectors.ipynb
230    230  165204616                                       Error_analysis.ipynb                 EvgenyKashin/signate_segmentation                                                      EvgenyKashin~signate_segmentation_nb/Error_analysis.ipynb     False                                                                                                                            Error_analysis.ipynb
286    286  165212274                                              PROJECT.ipynb                 Eros1996/mnist-fully-connected-nn                                                             Eros1996~mnist-fully-connected-nn_nb/PROJECT.ipynb     False                                                                                                                                   PROJECT.ipynb
410    410  165204037                                  twitterUserAnalysis.ipynb                         nehasingh2710/ds-ml-funda                                                         nehasingh2710~ds-ml-funda_nb/twitterUserAnalysis.ipynb     False                                                                                              Data/twitterDataAnalysis/twitterUserAnalysis.ipynb
429    429  165205681  Planar+data+classification+with+one+hidden+layer+v5.ipynb  vincentgigliobianco/Deep_learning_MOOC_notebooks  vincentgigliobianco~Deep_learning_MOOC_notebooks_nb/Planar+data+classification+with+one+hidden+layer+v5.ipynb     False  Neural_Networks_and_Deep_Learning_3/Planar_data_classification_with_one_hidden_layer/Planar+data+classification+with+one+hidden+layer+v5.ipynb
489    489  165208259                housing-prices-competition-checkpoint.ipynb                                   Joash-JW/kaggle                                                 Joash-JW~kaggle_nb/housing-prices-competition-checkpoint.ipynb     False                                                       Housing Prices Competition/.ipynb_checkpoints/housing-prices-competition-checkpoint.ipynb
524    524  165213861                                          Experiments.ipynb                       matherm/python-data-science                                                               matherm~python-data-science_nb/Experiments.ipynb     False                                                                                      gaussian-mixture-variational-autoencoder/Experiments.ipynb
525    525  165221517                                           class work.ipynb                           vincajayi/Vincent-Ajayi                                                                    vincajayi~Vincent-Ajayi_nb/class work.ipynb     False                                                                                                                                class work.ipynb
539    539  165218946                      CNN_without_batch_normalization.ipynb                              anandaman43/training                                                  anandaman43~training_nb/CNN_without_batch_normalization.ipynb     False                                                                                              assignment_2/CNN_without_batch_normalization.ipynb
545    545  165220518                                   Python Essential 1.ipynb                               sumanpaul79/Epython                                                                sumanpaul79~Epython_nb/Python Essential 1.ipynb     False                                                                                                                        Python Essential 1.ipynb
576    576  165219632                                               sheet1.ipynb                        mymycen/Python_ML_Learning                                                                     mymycen~Python_ML_Learning_nb/sheet1.ipynb     False                                                                                                                 Python-PyML-WS1718/sheet1.ipynb
605    605  165216800                                           Case Study.ipynb                       KonstantinMack/accidents_uk                                                                KonstantinMack~accidents_uk_nb/Case Study.ipynb     False                                                                                                                                Case Study.ipynb
623    623  165225230                        Project Solution of XYZ corp..ipynb                              ankur787/Credit-Risk                                                    ankur787~Credit-Risk_nb/Project Solution of XYZ corp..ipynb     False                                                                                                             Project Solution of XYZ corp..ipynb
631    631  165223817                                                 main.ipynb            BenjaminPoilve/Typewriter-Optimisation                                                           BenjaminPoilve~Typewriter-Optimisation_nb/main.ipynb     False                                                                                                                                      main.ipynb
682    682  165222498                                         2-checkpoint.ipynb                            doraemonlei/learnkeras                                                                   doraemonlei~learnkeras_nb/2-checkpoint.ipynb     False                                                                                                 kerasbook/.ipynb_checkpoints/2-checkpoint.ipynb
691    691  165225778                                       Finding Donors.ipynb          HenryZhan14/Finding-Donors-for-CharityML                                               HenryZhan14~Finding-Donors-for-CharityML_nb/Finding Donors.ipynb     False                                                                                                                            Finding Donors.ipynb
695    695  165222180                                                 IMBD.ipynb                      shahzadahsan97/Deep-Learning                                                                     shahzadahsan97~Deep-Learning_nb/IMBD.ipynb     False                                                                                                                                      IMBD.ipynb
698    698  165224847                                Session 6 Assignment .ipynb                  selvamj1996/Session-6-Assignment                                                selvamj1996~Session-6-Assignment_nb/Session 6 Assignment .ipynb     False                                                                                                                     Session 6 Assignment .ipynb
------------- CLUSTER 2 -------------------
      nb_id    repo_id                                        nb_name                                                               repo_name                                                                                               filepath  filtered                                                                                               nb_path
123     123  165202476                            protein_atlas.ipynb                                 RomRoc/kaggle_proteinatlas_fastai_colab                                         RomRoc~kaggle_proteinatlas_fastai_colab_nb/protein_atlas.ipynb     False                                                                                   protein_atlas.ipynb
298     298  165211890                               Ensembling.ipynb                                       angelodavido/Rossmann-Store-Sales                                                  angelodavido~Rossmann-Store-Sales_nb/Ensembling.ipynb     False                                                                                      Ensembling.ipynb
463     463  165208407                         Math(tensorflow).ipynb                                                  allenyllee/ML_exercise                                                       allenyllee~ML_exercise_nb/Math(tensorflow).ipynb     False                                                                           Math/Math(tensorflow).ipynb
475     475  165211401                                   to_csv.ipynb                                              joejnke/sorting_algorithms                                                             joejnke~sorting_algorithms_nb/to_csv.ipynb     False                                                                                          to_csv.ipynb
495     495  165205384  Song lyrics for Robyn from azlyrics.com.ipynb                                         steffmul/SpicedAcademy_Projects                       steffmul~SpicedAcademy_Projects_nb/Song lyrics for Robyn from azlyrics.com.ipynb     False                                                         Song lyrics for Robyn from azlyrics.com.ipynb
531     531  165212759                            random_forest.ipynb                                                       bojigu/AlgeaClass                                                               bojigu~AlgeaClass_nb/random_forest.ipynb     False                                                                                   random_forest.ipynb
546     546  165221515                       Python Essential 2.ipynb                                               samirmullaskype/Python-E1                                                  samirmullaskype~Python-E1_nb/Python Essential 2.ipynb     False                                                                              Python Essential 2.ipynb
