,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
0,594,True,False,False,False,high,high,low,low,low,True,True,False,low,True,low,True,low,high,low,False,False,low,False,low,False,high
1,1222,True,False,False,False,high,low,low,low,low,True,True,True,low,False,low,True,high,high,low,False,False,low,False,low,False,low
2,1447,True,False,False,False,high,low,low,low,low,True,True,True,high,True,low,True,high,high,low,False,True,high,False,high,False,low
3,2705,True,False,False,False,high,low,low,low,low,True,True,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
4,2861,True,False,False,True,high,low,low,low,low,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
5,4475,True,False,False,True,high,low,low,low,low,True,True,True,low,True,low,True,low,high,low,False,False,low,False,low,False,low
6,4842,True,False,False,True,high,low,low,low,low,True,True,True,low,True,low,True,low,high,low,False,False,low,False,low,False,low
7,6345,False,False,False,False,high,high,low,low,low,False,False,True,low,True,low,True,low,high,low,False,False,low,False,low,False,high
8,6346,False,False,False,False,high,high,low,low,low,False,False,True,low,True,low,True,low,high,low,False,False,low,False,low,False,high
9,6664,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
10,6993,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
11,8145,True,False,False,False,high,high,low,low,low,True,True,True,high,True,low,True,low,high,low,False,True,low,False,low,False,low
12,8472,True,False,False,False,high,high,high,low,low,True,True,True,high,True,low,True,low,high,high,False,False,high,False,high,False,low
13,8529,False,False,False,False,high,high,low,high,low,False,False,False,low,False,low,True,low,high,high,False,False,low,False,low,False,high
14,9725,True,False,False,True,high,high,low,low,low,True,False,True,low,False,high,False,low,low,high,False,False,high,False,low,False,low
15,11545,False,False,False,False,high,high,low,low,low,False,False,False,low,True,low,True,low,high,low,False,False,low,False,low,False,high
16,11546,False,False,False,False,high,high,low,low,low,False,False,False,low,True,low,True,low,high,low,False,False,low,False,low,False,high
17,11557,True,False,False,False,high,low,low,high,low,True,True,True,low,False,high,True,high,high,low,False,True,low,False,low,False,high
18,11976,True,False,False,True,high,low,high,low,low,False,False,True,low,True,low,False,low,high,high,False,False,low,False,low,False,low
