,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
0,1589,False,high,high,low,low,False,False,low,low,high,low,False,True,low,False,False,low
1,1919,False,high,high,low,low,False,True,low,low,high,low,True,True,low,False,False,low
2,2857,False,low,low,high,low,False,True,high,low,high,low,False,True,low,False,False,low
3,4339,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
4,4659,False,high,low,low,low,False,True,high,low,high,low,True,False,low,False,False,low
5,4903,False,high,high,low,low,False,True,low,low,high,high,False,False,low,False,False,low
6,6210,False,low,high,low,low,False,True,low,low,high,low,True,True,high,False,False,high
7,8074,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
8,10149,False,high,low,low,low,False,False,low,high,high,low,False,True,low,False,False,low
9,10394,False,high,low,low,low,False,False,low,high,high,low,False,True,low,False,False,low
10,11007,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
11,11258,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
12,12592,False,high,high,low,high,False,True,low,low,high,low,True,False,low,False,False,low
13,13837,True,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
14,13838,True,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
15,14782,False,high,low,low,low,True,False,low,low,high,high,False,True,low,False,False,low
16,15682,False,high,low,low,low,False,True,high,low,low,high,False,True,low,False,False,low
17,15874,False,high,low,low,low,False,False,low,low,high,high,False,True,high,False,False,low
18,16063,False,high,high,low,high,False,False,low,low,high,high,False,True,low,False,False,low
19,17125,False,high,high,low,low,False,True,high,low,high,low,False,False,low,False,False,low
20,18715,False,low,low,low,low,False,True,low,low,high,low,True,False,low,False,False,low
21,19585,False,high,high,low,low,False,True,low,low,high,low,False,False,high,False,False,low
22,19705,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
23,19890,False,high,high,low,low,False,True,low,low,high,low,True,True,high,False,False,low
24,20132,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
25,21889,False,high,low,low,low,False,True,low,low,low,high,True,True,low,False,False,low
26,23279,False,high,low,low,high,True,True,low,low,high,high,False,False,low,False,False,low
27,23582,False,low,low,low,low,False,True,high,low,low,low,True,False,low,False,False,low
28,24355,False,high,low,low,high,False,True,low,low,high,high,True,False,low,False,False,low
29,25057,False,high,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
30,25521,False,high,low,low,low,True,False,low,low,high,low,False,True,low,False,False,low
31,25648,False,high,low,low,low,True,False,low,low,high,low,False,True,low,False,False,low
32,26250,False,low,high,low,low,False,True,high,low,high,low,False,False,low,False,False,low
33,27993,False,high,high,low,low,False,False,low,low,high,low,False,True,low,False,False,low
34,29159,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
35,29551,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
36,29663,False,high,high,low,low,False,False,low,low,high,low,False,True,low,False,False,low
37,31235,False,high,low,low,low,False,True,low,high,high,low,False,True,low,False,False,low
38,31530,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
39,31607,False,low,low,low,low,True,True,low,low,high,low,False,False,low,False,False,low
40,31840,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
41,32852,False,low,high,low,low,False,False,high,low,high,high,False,False,low,False,False,low
42,35227,False,low,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
43,36178,False,high,low,low,high,True,False,low,low,high,low,False,False,low,False,False,low
44,36536,False,low,low,high,low,True,True,high,low,high,low,False,False,low,False,False,low
45,36983,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
46,37408,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
47,37409,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
48,38398,False,high,low,low,high,False,True,low,low,high,low,False,True,low,False,False,low
49,39525,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
50,40819,False,high,low,low,low,False,False,low,low,high,high,False,True,low,False,False,low
51,41735,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
52,42362,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
53,45010,False,high,low,low,high,False,False,high,low,high,low,False,False,low,False,False,low
54,45107,False,low,low,low,low,False,True,high,high,high,low,False,True,low,False,False,low
55,46028,False,low,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
56,46583,True,high,high,low,low,False,True,low,low,high,low,True,True,high,False,False,low
57,49310,False,low,high,low,low,False,True,low,low,low,high,True,True,low,False,False,low
58,49381,False,high,low,low,low,False,True,high,low,high,low,False,False,low,False,False,low
59,49448,False,high,high,low,low,True,True,low,low,high,low,False,False,low,False,False,low
60,49674,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
61,51702,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
62,51873,False,high,low,low,low,False,True,low,high,high,low,False,False,low,False,False,low
63,54094,False,high,low,low,low,False,False,high,low,low,low,False,False,low,False,False,low
64,54917,False,high,high,low,low,False,True,high,low,high,low,False,False,low,False,False,low
65,55074,False,high,low,low,low,False,False,low,low,low,low,True,False,low,False,False,low
66,56928,False,high,low,low,low,False,True,low,low,high,low,True,False,low,False,False,low
67,58796,False,high,low,low,low,False,True,low,low,high,high,False,False,low,False,False,low
68,58812,False,low,low,low,low,False,False,high,low,high,low,False,False,low,False,False,low
69,59446,False,high,low,low,low,False,True,high,low,high,low,False,True,low,False,False,low
70,64715,False,high,low,low,low,False,False,low,low,high,low,False,True,low,False,False,low
71,64927,False,high,low,low,high,False,True,low,low,high,low,False,True,low,False,False,low
72,65088,False,high,low,low,high,False,True,low,low,high,low,False,True,low,False,False,low
73,65810,False,high,high,low,low,False,True,low,low,high,low,False,False,high,False,False,low
74,66122,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
75,67760,True,high,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
76,67822,True,high,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
