,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
0,594,True,False,False,False,medium,high,low,lower,low,True,True,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
1,1222,True,False,False,False,high,low,medium,lower,low,True,True,True,medium,False,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
2,1447,True,False,False,False,high,low,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False,True,higher,False,high,False,lower
3,2705,True,False,False,False,high,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
4,2861,True,False,False,True,high,low,medium,lower,low,False,False,True,medium,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
5,4475,True,False,False,True,high,medium,medium,lower,low,True,True,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
6,4842,True,False,False,True,high,medium,medium,lower,low,True,True,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
7,6345,False,False,False,False,high,high,medium,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
8,6346,False,False,False,False,high,high,medium,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
9,6664,True,False,False,False,high,low,medium,lower,low,True,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
10,6993,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
11,8145,True,False,False,False,high,high,medium,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False,True,lower,False,medium,False,lower
12,8472,True,False,False,False,high,medium,medium,lower,medium,True,True,True,medium,True,lower,True,low,higher,higher,False,False,higher,False,medium,False,lower
13,8529,False,False,False,False,high,medium,medium,higher,medium,False,False,False,low,False,lower,True,low,higher,higher,False,False,lower,False,low,False,higher
14,9725,True,False,False,True,medium,high,medium,lower,low,True,False,True,medium,False,higher,False,low,lower,higher,False,False,higher,False,low,False,lower
15,11545,False,False,False,False,high,medium,low,lower,low,False,False,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
16,11546,False,False,False,False,high,medium,low,lower,low,False,False,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
17,11557,True,False,False,False,high,low,medium,higher,low,True,True,True,medium,False,higher,True,high,higher,lower,False,True,lower,False,medium,False,higher
18,11976,True,False,False,True,medium,medium,high,lower,low,False,False,True,medium,True,lower,False,low,higher,higher,False,False,lower,False,medium,False,lower
19,12290,False,False,False,False,high,medium,medium,lower,medium,False,False,False,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
20,13740,False,False,False,False,medium,low,medium,lower,low,False,False,True,medium,False,higher,False,high,higher,lower,False,False,lower,False,medium,False,lower
21,14534,False,False,False,False,high,medium,low,higher,medium,False,False,True,low,False,lower,False,low,higher,lower,True,False,lower,False,medium,False,lower
22,14535,False,False,False,False,high,medium,low,higher,medium,False,False,True,low,False,lower,False,low,higher,lower,True,False,lower,False,medium,False,lower
23,15744,False,False,False,False,low,medium,low,lower,low,False,False,True,low,False,lower,True,low,higher,lower,False,True,lower,False,low,True,lower
24,16041,False,True,False,False,medium,low,high,lower,low,True,True,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,higher
25,16084,True,False,False,True,medium,high,medium,lower,low,True,False,True,medium,False,higher,False,low,lower,higher,False,False,higher,False,low,False,lower
