,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
0,1589,False,medium,medium,lower,low,False,False,lower,lower,higher,lower,False,True,lower,False,False,lower
1,1919,False,high,high,lower,low,False,True,lower,lower,higher,lower,True,True,lower,False,False,lower
2,2857,False,low,medium,higher,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
3,4339,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
4,4659,False,high,low,lower,low,False,True,higher,lower,higher,lower,True,False,lower,False,False,lower
5,4903,False,high,high,lower,low,False,True,lower,lower,higher,higher,False,False,lower,False,False,lower
6,6210,False,low,medium,lower,low,False,True,lower,lower,higher,lower,True,True,higher,False,False,higher
7,8074,False,medium,low,lower,medium,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
8,10149,False,high,low,lower,low,False,False,lower,higher,higher,lower,False,True,lower,False,False,lower
9,10394,False,high,low,lower,low,False,False,lower,higher,higher,lower,False,True,lower,False,False,lower
10,11007,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
11,11258,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
12,12592,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
13,13837,True,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
14,13838,True,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
15,14782,False,high,medium,lower,medium,True,False,lower,lower,higher,higher,False,True,lower,False,False,lower
16,15682,False,high,low,lower,low,False,True,higher,lower,lower,higher,False,True,lower,False,False,lower
17,15874,False,high,low,lower,low,False,False,lower,lower,higher,higher,False,True,higher,False,False,lower
18,16063,False,medium,high,lower,medium,False,False,lower,lower,higher,higher,False,True,lower,False,False,lower
19,17125,False,medium,medium,lower,low,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
20,18715,False,low,medium,lower,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
21,19585,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,higher,False,False,lower
22,19705,False,high,medium,lower,high,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
23,19890,False,high,high,lower,medium,False,True,lower,lower,higher,lower,True,True,higher,False,False,lower
24,20132,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
25,21889,False,high,medium,lower,low,False,True,lower,lower,lower,higher,True,True,lower,False,False,lower
26,23279,False,high,low,lower,high,True,True,lower,lower,higher,higher,False,False,lower,False,False,lower
27,23582,False,low,medium,lower,low,False,True,higher,lower,lower,lower,True,False,lower,False,False,lower
28,24355,False,high,low,lower,medium,False,True,lower,lower,higher,higher,True,False,lower,False,False,lower
29,25057,False,high,low,lower,low,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
30,25521,False,high,medium,lower,low,True,False,lower,lower,higher,lower,False,True,lower,False,False,lower
31,25648,False,high,medium,lower,low,True,False,lower,lower,higher,lower,False,True,lower,False,False,lower
32,26250,False,low,medium,lower,medium,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
33,27993,False,medium,medium,lower,low,False,False,lower,lower,higher,lower,False,True,lower,False,False,lower
34,29159,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
35,29551,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
36,29663,False,medium,medium,lower,low,False,False,lower,lower,higher,lower,False,True,lower,False,False,lower
37,31235,False,high,low,lower,low,False,True,lower,higher,higher,lower,False,True,lower,False,False,lower
38,31530,False,medium,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
39,31607,False,low,low,lower,low,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
40,31840,False,low,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
41,32852,False,low,high,lower,low,False,False,higher,lower,higher,higher,False,False,lower,False,False,lower
42,35227,False,low,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
43,36178,False,medium,low,lower,high,True,False,lower,lower,higher,lower,False,False,lower,False,False,lower
44,36536,False,low,medium,higher,low,True,True,higher,lower,higher,lower,False,False,lower,False,False,lower
45,36983,False,medium,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
46,37408,False,high,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
47,37409,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
48,38398,False,high,low,lower,high,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
49,39525,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
50,40819,False,high,medium,lower,low,False,False,lower,lower,higher,higher,False,True,lower,False,False,lower
51,41735,False,medium,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
52,42362,False,high,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
53,45010,False,high,medium,lower,high,False,False,higher,lower,higher,lower,False,False,lower,False,False,lower
54,45107,False,low,low,lower,medium,False,True,higher,higher,higher,lower,False,True,lower,False,False,lower
55,46028,False,low,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
56,46583,True,medium,medium,lower,low,False,True,lower,lower,higher,lower,True,True,higher,False,False,lower
57,49310,False,low,high,lower,low,False,True,lower,lower,lower,higher,True,True,lower,False,False,lower
58,49381,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
59,49448,False,high,medium,lower,low,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
60,49674,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
61,51702,False,medium,high,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
62,51873,False,high,low,lower,low,False,True,lower,higher,higher,lower,False,False,lower,False,False,lower
63,54094,False,high,medium,lower,low,False,False,higher,lower,lower,lower,False,False,lower,False,False,lower
64,54917,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
65,55074,False,high,medium,lower,low,False,False,lower,lower,lower,lower,True,False,lower,False,False,lower
66,56928,False,high,medium,lower,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
67,58796,False,high,medium,lower,low,False,True,lower,lower,higher,higher,False,False,lower,False,False,lower
68,58812,False,low,medium,lower,low,False,False,higher,lower,higher,lower,False,False,lower,False,False,lower
69,59446,False,medium,medium,lower,medium,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
70,64715,False,medium,low,lower,low,False,False,lower,lower,higher,lower,False,True,lower,False,False,lower
71,64927,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
72,65088,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
73,65810,False,high,high,lower,low,False,True,lower,lower,higher,lower,False,False,higher,False,False,lower
74,66122,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
75,67760,True,medium,low,lower,low,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
76,67822,True,medium,low,lower,low,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
77,69898,False,high,medium,lower,medium,True,False,lower,lower,higher,lower,False,False,lower,False,False,lower
78,70953,False,medium,medium,lower,medium,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
79,70954,False,medium,medium,lower,medium,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
80,70955,False,medium,medium,lower,medium,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
81,71053,False,medium,high,lower,low,False,True,lower,lower,higher,higher,False,False,higher,False,False,lower
82,71054,False,medium,high,lower,low,False,True,lower,lower,higher,higher,False,False,higher,False,False,lower
83,71254,False,medium,low,lower,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
84,74546,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
85,77848,False,medium,medium,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
86,78586,False,high,low,higher,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
87,78641,False,high,medium,higher,low,False,False,higher,lower,higher,lower,False,False,lower,False,False,lower
88,80914,False,medium,high,lower,high,False,True,lower,lower,higher,higher,False,False,lower,False,False,lower
89,81576,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
90,81577,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
91,82871,False,high,low,higher,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
92,83609,False,low,medium,lower,high,False,False,lower,lower,higher,lower,True,True,lower,False,False,lower
93,84014,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,higher,False,False,lower
94,84242,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,higher,False,False,lower
95,84415,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
96,85938,False,medium,medium,lower,medium,True,True,lower,lower,higher,lower,False,False,lower,False,False,lower
97,86026,False,high,medium,lower,medium,False,True,higher,lower,lower,lower,False,False,lower,False,False,lower
98,86212,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
99,89866,False,low,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
100,91344,False,medium,low,lower,low,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
101,91827,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,higher,False,False,lower
102,91990,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
103,92257,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,True,True,lower,False,False,lower
104,93609,False,high,high,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
105,93749,False,high,medium,lower,low,False,False,lower,lower,higher,higher,False,False,higher,False,False,lower
106,95551,False,low,low,lower,low,False,True,higher,lower,higher,higher,False,False,higher,False,False,lower
107,97936,False,high,medium,lower,medium,False,True,lower,lower,lower,higher,True,False,higher,False,False,lower
108,98978,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,True,False,lower,False,False,lower
109,99089,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,True,False,lower,False,False,lower
110,99899,False,high,medium,lower,medium,False,False,higher,lower,higher,lower,False,True,lower,False,False,lower
111,100644,False,medium,low,lower,low,False,True,lower,higher,higher,lower,False,False,lower,False,False,lower
112,100751,False,high,medium,lower,medium,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
113,100841,False,low,medium,lower,low,True,True,lower,lower,higher,lower,False,False,higher,False,False,lower
114,101059,False,medium,low,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
115,101060,False,medium,low,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
116,101801,False,medium,low,lower,low,True,True,lower,lower,higher,lower,False,False,lower,False,False,higher
117,102532,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,higher,False,False,lower
118,102621,False,medium,low,lower,low,False,True,higher,higher,higher,lower,False,False,higher,False,False,lower
119,103234,False,high,medium,lower,medium,False,False,higher,lower,higher,higher,False,True,lower,False,False,lower
120,103856,False,medium,medium,higher,medium,False,True,lower,lower,lower,lower,False,False,lower,False,False,lower
121,106247,False,high,medium,higher,low,False,False,higher,lower,higher,lower,False,False,lower,False,False,lower
122,107922,False,high,medium,lower,high,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
123,107923,False,high,medium,lower,high,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
124,108009,False,high,medium,higher,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
125,108010,False,high,medium,higher,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
126,109283,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
127,110855,False,high,medium,lower,medium,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
128,111020,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
129,111813,False,high,high,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,higher
130,111814,False,high,high,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,higher
131,113633,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
132,115766,False,low,high,lower,medium,True,True,higher,lower,higher,higher,True,False,lower,False,False,lower
133,116528,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,True,True,higher,False,False,lower
134,116693,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,True,True,higher,False,False,lower
135,118781,False,low,low,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
136,118956,False,high,low,higher,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
137,121181,False,medium,medium,lower,medium,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
138,121667,False,high,medium,lower,medium,False,True,lower,lower,lower,lower,True,True,higher,False,False,lower
139,122210,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
140,123085,False,low,medium,lower,high,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
141,125573,False,high,medium,lower,low,False,True,lower,lower,higher,higher,True,True,lower,False,False,lower
142,126351,False,low,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
143,128047,False,low,low,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
144,128087,False,high,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
145,128406,False,high,low,lower,low,False,False,lower,lower,higher,higher,False,False,lower,False,False,lower
146,128407,False,high,low,lower,low,False,False,lower,lower,higher,higher,False,False,lower,False,False,lower
147,129766,False,high,medium,lower,medium,False,True,higher,lower,higher,lower,False,False,lower,False,False,lower
148,131931,False,high,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
149,133089,False,high,low,higher,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
150,133540,False,high,medium,lower,low,False,True,lower,lower,lower,higher,False,True,higher,False,False,lower
151,134060,False,high,medium,lower,low,False,False,lower,lower,higher,lower,True,False,lower,False,False,lower
152,135040,False,low,medium,lower,low,False,True,higher,lower,lower,lower,True,True,lower,False,False,lower
153,136480,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
154,138506,False,high,low,lower,low,False,True,lower,lower,higher,lower,True,True,lower,False,False,lower
155,139547,False,medium,medium,lower,low,False,False,higher,lower,lower,lower,False,False,lower,False,False,lower
156,140292,False,high,medium,lower,low,False,False,lower,lower,higher,lower,True,False,lower,False,False,lower
157,140921,False,high,medium,lower,low,False,False,lower,lower,higher,lower,True,False,lower,False,False,lower
158,142583,False,medium,medium,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,True,lower
159,143430,False,high,medium,lower,low,False,True,lower,lower,lower,higher,False,True,lower,False,False,lower
160,143457,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
161,146622,False,high,medium,lower,medium,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
162,148169,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
163,148241,False,high,low,lower,high,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
164,149614,False,high,medium,lower,high,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
165,152284,False,medium,low,lower,low,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
166,152774,False,high,high,lower,low,False,True,lower,lower,higher,lower,True,False,lower,False,False,lower
167,154493,False,low,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
168,155696,False,medium,medium,lower,medium,False,False,lower,lower,higher,lower,False,False,higher,False,False,lower
169,156183,False,medium,medium,lower,high,False,True,higher,lower,higher,higher,False,False,lower,False,False,lower
170,158493,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
171,158848,False,high,medium,lower,medium,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
