,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
longer_beginning,1,0.040990523627202305,0.024114683776509303,0.07875744089233869,0.012249180235740585,0.13417876925564332,0.26602655076208914,0.03488150831842668,-0.06487677801270408,0.18011757091795305,0.2979389645786699,0.12469961986514606,0.3080581127208322,0.1559847346955457,0.01127585587290973,0.22368034249549393,0.0509867955490513,-0.010737280256454007,-0.08624277941758732,-0.005060930461587097,-0.10184936985594087,0.07408026616316415,-0.043169623307387904,0.14255323725523855,-0.03639028185395952,-0.11389097877729343
longer_ending,0.040990523627202305,1,0.0722806900296674,0.1338129565179541,-0.12160678387835527,0.04591254582299227,0.2776553933003561,0.023758107497037193,-0.05656445581297742,0.33697671177094435,0.31292896912046164,-0.007992608461737091,0.1623408112816712,0.0925511664809537,0.05174245951225577,0.2777624927393773,0.08165841081110586,0.021958531379118663,-0.001999355344374209,-0.06864085032247697,0.02357294057383283,0.07867347391249342,0.02250221778968316,0.2111523677354693,-0.04635021845520109,-0.034988605722030094
has_author,0.024114683776509303,0.0722806900296674,1,0.058944582311969404,0.015293075627504683,-0.0021091646753706025,0.04587877991580731,-0.03378481659165093,-0.012544092822606,0.051510216314634746,0.12136321135303496,0.025187201820495317,-0.029815302799905744,0.060401020207476376,0.10596384679350519,0.10262155161491922,0.0013768568296396834,-0.017493849605230503,0.0728698430393827,-0.020271675787534686,-0.011231315210906211,-0.05937024961902225,-0.04127833070770191,0.07649938588476296,-0.00939689860155042,0.02139432094319414
has_equation,0.07875744089233869,0.1338129565179541,0.058944582311969404,1,-0.013940115562903638,-0.017242285678862445,0.18269188476688897,0.012176113695240657,0.04733876957660264,0.23240484620960694,0.14063253623681005,0.031821099865377976,0.08692111511053476,0.026681420789928023,0.07399780070444635,0.22495614191950705,0.01646212929547931,0.01291905237756252,0.030346616278956247,-0.04375247460538965,-0.062180861956164166,0.043062133709176414,0.14752751502527617,0.10135218785357214,0.03340650231164702,-0.024494342810427748
jupyter_prop,0.012249180235740585,-0.12160678387835527,0.015293075627504683,-0.013940115562903638,1,0.028533999508317573,-0.07698926130356314,-0.24949175754765343,0.05376640461822991,-0.037140874579767766,-0.08925140379008414,-0.020182264684774843,0.008889761293640948,-0.030823944610838927,-0.11943970195994555,-0.07759893958783859,-0.002742530930328316,-0.024244088552841908,0.007221753936252286,-0.0015740006362382842,-0.10662879463333884,-0.03800176313880442,-0.060785161628133834,-0.1323158690002725,-0.04256080583412168,-0.10983149017641854
output_cell_prop,0.13417876925564332,0.04591254582299227,-0.0021091646753706025,-0.017242285678862445,0.028533999508317573,1,0.016363022889406977,-0.08636110364442541,0.10813708140758756,0.02114059945657257,0.032685860001488626,0.02990296462063791,0.1098615110696211,-0.011053394626641488,-0.012689845656386202,-0.05180580419563891,-0.38515305898854335,-0.03776397821543058,0.059352901730348,0.005086305642010453,-0.15586996366915995,-0.07761394874445467,-0.0466013436470738,0.06626289663782332,-0.05908618800415155,0.006190928106978836
markdown_prop,0.26602655076208914,0.2776553933003561,0.04587877991580731,0.18269188476688897,-0.07698926130356314,0.016363022889406977,1,0.038428170785799444,-0.07759719666315401,0.34098853314419003,0.3631220282846113,-0.04527738763454161,0.1767359618406554,0.23041855415409632,0.016832934829421112,0.35944640983028314,0.041674094453967477,0.012462979921507304,-0.043427116389842986,-0.09661219498043706,-0.08327309248942874,0.04099845868320424,-0.0963070132235719,0.3008508846978609,-0.04876077609876106,-0.005782875725684059
num_contrib,0.03488150831842668,0.023758107497037193,-0.03378481659165093,0.012176113695240657,-0.24949175754765343,-0.08636110364442541,0.038428170785799444,1,-0.07148956613669984,0.014002067106205196,0.006491306210620963,-0.05794912486523326,0.012669520580658282,-0.019909205377806886,0.23949312897961075,0.058110200250105236,0.1411892535751631,0.010782071809985066,-0.06781153211286735,-0.02703063435680346,0.017646746823523143,0.006115089974281092,-0.049537962640682325,-0.011862563208543567,0.026944235674145216,0.42060992972742944
image_prop,-0.06487677801270408,-0.05656445581297742,-0.012544092822606,0.04733876957660264,0.05376640461822991,0.10813708140758756,-0.07759719666315401,-0.07148956613669984,1,-0.1341805368818177,-0.2059615958395988,0.003048379725026986,0.02967369033612262,-0.15557317832424905,0.011429352612699636,-0.11846664620850207,-0.17232150946161048,-0.03471797634603704,0.06045951148392622,-0.09893796165525866,-0.004157540642603841,-0.04309100536560833,0.04953755105491569,-0.06698085349264765,-0.010256591714543309,-0.05701949331831769
is_education,0.18011757091795305,0.33697671177094435,0.051510216314634746,0.23240484620960694,-0.037140874579767766,0.02114059945657257,0.34098853314419003,0.014002067106205196,-0.1341805368818177,1,0.41612731374064954,0.0250310699459158,0.12989606626956274,0.06052054387999568,0.07554941442724475,0.44075563349772334,0.1252578406261171,1.2571034778087713e-05,-0.002500651958792815,-0.033757791844417497,-0.0746939660950207,0.09832499971718195,0.12549279255470913,0.26520165530463125,-0.044692789696850053,0.04844744633078737
