,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error
0,594,True,False,False,False,medium,low,lower,low,True,True,False,low,True,lower,True,low,higher,lower,False
1,1222,True,False,False,False,high,medium,lower,low,True,True,True,medium,False,lower,True,high,higher,lower,False
2,1447,True,False,False,False,high,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False
3,2705,True,False,False,False,high,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,lower,False
4,2861,True,False,False,True,high,medium,lower,low,False,False,True,medium,False,lower,False,low,higher,lower,False
5,4475,True,False,False,True,high,medium,lower,low,True,True,True,low,True,lower,True,low,higher,lower,False
6,4842,True,False,False,True,high,medium,lower,low,True,True,True,low,True,lower,True,low,higher,lower,False
7,6345,False,False,False,False,high,medium,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False
8,6346,False,False,False,False,high,medium,lower,low,False,False,True,low,True,lower,True,low,higher,lower,False
9,6664,True,False,False,False,high,medium,lower,low,True,False,True,high,True,lower,False,low,higher,lower,False
10,6993,True,False,False,False,high,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False
11,8145,True,False,False,False,high,medium,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False
12,8472,True,False,False,False,high,medium,lower,medium,True,True,True,medium,True,lower,True,low,higher,higher,False
13,8529,False,False,False,False,high,medium,higher,medium,False,False,False,low,False,lower,True,low,higher,higher,False
14,9725,True,False,False,True,medium,medium,lower,low,True,False,True,medium,False,higher,False,low,lower,higher,False
15,11545,False,False,False,False,high,low,lower,low,False,False,False,low,True,lower,True,low,higher,lower,False
16,11546,False,False,False,False,high,low,lower,low,False,False,False,low,True,lower,True,low,higher,lower,False
17,11557,True,False,False,False,high,medium,higher,low,True,True,True,medium,False,higher,True,high,higher,lower,False
18,11976,True,False,False,True,medium,high,lower,low,False,False,True,medium,True,lower,False,low,higher,higher,False
19,12290,False,False,False,False,high,medium,lower,medium,False,False,False,medium,True,lower,False,low,higher,lower,False
20,13740,False,False,False,False,medium,medium,lower,low,False,False,True,medium,False,higher,False,high,higher,lower,False
21,14534,False,False,False,False,high,low,higher,medium,False,False,True,low,False,lower,False,low,higher,lower,True
22,14535,False,False,False,False,high,low,higher,medium,False,False,True,low,False,lower,False,low,higher,lower,True
23,15744,False,False,False,False,low,low,lower,low,False,False,True,low,False,lower,True,low,higher,lower,False
24,16041,False,True,False,False,medium,high,lower,low,True,True,False,low,True,lower,True,low,higher,lower,False
25,16084,True,False,False,True,medium,medium,lower,low,True,False,True,medium,False,higher,False,low,lower,higher,False
26,16594,False,False,False,True,high,high,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,False
