,antecedents,consequents,confidence,lift,conviction,antecedent_len,consequent_len
15950,"({'num_commits_lower', 'exec_inorder_higher', 'jupyter_prop_high', 'non_exec_prop_low', 'has_comments_T'})",({'num_contrib_lower'}),0.9838983050847456,1.0533229051164263,4.093363045326074,5,1
11323,"({'has_comments_T', 'jupyter_prop_high', 'non_exec_prop_low', 'num_commits_lower'})",({'num_contrib_lower'}),0.9837925445705025,1.053209682061225,4.066652116979498,4,1
13922,"({'has_author_F', 'num_commits_lower', 'jupyter_prop_high', 'non_exec_prop_low', 'has_comments_T'})",({'num_contrib_lower'}),0.9832915622389307,1.052673350041771,3.944718463553037,5,1
14914,"({'has_author_F', 'num_commits_lower', 'exec_skips_lower', 'markdown_prop_med', 'has_comments_T'})",({'exec_inorder_higher'}),0.9824707846410685,1.0324956732168293,2.763983288645022,5,1
10194,"({'has_author_F', 'has_comments_T', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9823321554770318,1.0323499854118716,2.742295940637277,4,1
5873,"({'has_comments_T', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9822888283378748,1.0323044521660878,2.735587415639817,3,1
1396,"({'has_comments_T', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9822485207100592,1.0322620921774064,2.7293758184199097,2,1
5802,"({'has_comments_T', 'exec_skips_lower', 'num_commits_lower'})",({'exec_inorder_higher'}),0.9822161422708617,1.032228065111259,2.7244065406439795,3,1
10331,"({'has_author_F', 'has_comments_T', 'has_error_F', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9822064056939501,1.0322178327728624,2.7229157573112124,4,1
12150,"({'has_comments_T', 'exec_skips_lower', 'markdown_prop_med', 'num_commits_lower'})",({'exec_inorder_higher'}),0.982200647249191,1.0322117811228884,2.7220348398873155,4,1
3688,"({'has_author_F', 'has_comments_T', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9820987654320986,1.0321047117453843,2.7065428438115973,3,1
15798,"({'has_author_F', 'has_error_F', 'num_commits_lower', 'exec_skips_lower', 'has_comments_T'})",({'exec_inorder_higher'}),0.9820554649265906,1.0320592064893666,2.70001190428952,5,1
5838,"({'non_exec_prop_low', 'has_comments_T', 'exec_skips_lower'})",({'exec_inorder_higher'}),0.9819569743233867,1.031955700997651,2.6852734781587064,3,1
