,antecedents,consequents,confidence,antecedent_len,consequent_len
0,({'jupyter_prop_high'}),({'has_author_F'}),0.9967032967032967,1,1
89,"({'non_exec_prop_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9964454976303319,2,1
80,"({'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9963985594237695,2,1
83,"({'is_education_F', 'jupyter_prop_high'})",({'has_author_F'}),0.9963724304715841,2,1
92,"({'exec_inorder_higher', 'jupyter_prop_high'})",({'has_author_F'}),0.9963235294117647,2,1
95,"({'exec_skips_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9962311557788943,2,1
1159,"({'num_commits_lower', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9962073324905184,3,1
239,"({'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9961389961389961,2,1
598,"({'is_education_F', 'non_exec_prop_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9961190168175936,3,1
577,"({'non_exec_prop_lower', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9961190168175936,3,1
570,"({'is_education_F', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9960212201591513,3,1
619,"({'exec_inorder_higher', 'non_exec_prop_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9960159362549801,3,1
98,"({'jupyter_prop_high', 'has_error_F'})",({'has_author_F'}),0.9960053262316909,2,1
584,"({'exec_inorder_higher', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9959459459459458,3,1
605,"({'is_education_F', 'exec_inorder_higher', 'jupyter_prop_high'})",({'has_author_F'}),0.9959349593495935,3,1
640,"({'exec_inorder_higher', 'exec_skips_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9959072305593452,3,1
626,"({'non_exec_prop_lower', 'jupyter_prop_high', 'exec_skips_lower'})",({'has_author_F'}),0.995890410958904,3,1
612,"({'is_education_F', 'exec_skips_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9958448753462604,3,1
591,"({'exec_skips_lower', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9958391123439667,3,1
1942,"({'num_commits_lower', 'has_error_F', 'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9958391123439667,4,1
2332,"({'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9958158995815898,4,1
86,"({'num_commits_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9957983193277311,2,1
2348,"({'num_commits_lower', 'non_exec_prop_lower', 'exec_skips_lower', 'has_error_F'})",({'has_author_F'}),0.9957983193277311,4,1
1635,"({'is_education_F', 'non_exec_prop_lower', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9957386363636365,4,1
1211,"({'exec_inorder_higher', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9957264957264957,3,1
853,"({'has_error_F', 'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.995703544575725,3,1
2150,"({'num_commits_lower', 'is_education_F', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9956896551724136,4,1
647,"({'exec_inorder_higher', 'jupyter_prop_high', 'has_error_F'})",({'has_author_F'}),0.995658465991317,3,1
1050,"({'is_education_F', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9956521739130434,3,1
633,"({'non_exec_prop_lower', 'jupyter_prop_high', 'has_error_F'})",({'has_author_F'}),0.995639534883721,3,1
1225,"({'non_exec_prop_lower', 'exec_skips_lower', 'has_error_F'})",({'has_author_F'}),0.9956284153005465,3,1
1664,"({'is_education_F', 'exec_inorder_higher', 'non_exec_prop_lower', 'jupyter_prop_high'})",({'has_author_F'}),0.9956268221574343,4,1
1649,"({'exec_inorder_higher', 'non_exec_prop_lower', 'jupyter_prop_high', 'num_contrib_lower'})",({'has_author_F'}),0.9956076134699854,4,1
2382,"({'exec_inorder_higher', 'non_exec_prop_lower', 'exec_skips_lower', 'has_error_F'})",({'has_author_F'}),0.9952718676122932,4,1
2039,"({'exec_inorder_higher', 'non_exec_prop_lower', 'has_error_F', 'num_contrib_lower'})",({'has_author_F'}),0.9952095808383234,4,1
2240,"({'is_education_F', 'exec_inorder_higher', 'non_exec_prop_lower', 'has_error_F'})",({'has_author_F'}),0.9951807228915661,4,1
1806,"({'is_education_F', 'has_error_F', 'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.995115995115995,4,1
2063,"({'has_error_F', 'non_exec_prop_lower', 'exec_skips_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9950859950859952,4,1
2264,"({'is_education_F', 'non_exec_prop_lower', 'exec_skips_lower', 'has_error_F'})",({'has_author_F'}),0.9950617283950618,4,1
206,"({'num_commits_lower', 'non_exec_prop_lower'})",({'has_author_F'}),0.9948078920041536,2,1
119,"({'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9947275922671354,2,1
2927,"({'is_education_F', 'non_exec_prop_lower', 'exec_skips_lower', 'has_error_F', 'exec_inorder_higher'})",({'has_author_F'}),0.9946737683089213,5,1
2852,"({'non_exec_prop_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_error_F', 'exec_inorder_higher'})",({'has_author_F'}),0.9946595460614153,5,1
227,"({'exec_inorder_higher', 'non_exec_prop_lower'})",({'has_author_F'}),0.9945553539019965,2,1
2701,"({'is_education_F', 'non_exec_prop_lower', 'num_contrib_lower', 'has_error_F', 'exec_inorder_higher'})",({'has_author_F'}),0.994542974079127,5,1
234,"({'non_exec_prop_lower', 'exec_skips_lower'})",({'has_author_F'}),0.9944082013047529,2,1
9,({'non_exec_prop_lower'}),({'has_author_F'}),0.9943955164131306,1,1
2741,"({'is_education_F', 'non_exec_prop_lower', 'exec_skips_lower', 'num_contrib_lower', 'has_error_F'})",({'has_author_F'}),0.994389901823282,5,1
781,"({'num_commits_lower', 'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9943820224719102,3,1
984,"({'num_commits_lower', 'is_education_F', 'non_exec_prop_lower'})",({'has_author_F'}),0.9941792782305007,3,1
1137,"({'num_commits_lower', 'exec_inorder_higher', 'non_exec_prop_lower'})",({'has_author_F'}),0.994158878504673,3,1
1116,"({'non_exec_prop_lower', 'has_error_F', 'has_comments_T'})",({'has_author_F'}),0.9941348973607039,3,1
1149,"({'num_commits_lower', 'non_exec_prop_lower', 'exec_skips_lower'})",({'has_author_F'}),0.9940898345153665,3,1
700,"({'is_education_F', 'non_exec_prop_lower', 'num_contrib_lower'})",({'has_author_F'}),0.9940711462450593,3,1
