,support,itemsets,length
0,0.9911373707533235,frozenset({'has_author_F'}),1
1,0.672082717872969,frozenset({'jupyter_prop_high'}),1
2,0.5864106351550961,frozenset({'output_cell_prop_med'}),1
3,0.912850812407681,frozenset({'num_contrib_lower'}),1
4,0.6757754800590842,frozenset({'image_prop_low'}),1
5,0.8921713441654358,frozenset({'is_education_F'}),1
6,0.6787296898079763,frozenset({'has_comments_T'}),1
7,0.7688330871491876,frozenset({'num_commits_lower'}),1
8,0.9217134416543574,frozenset({'non_exec_prop_lower'}),1
9,0.8892171344165436,frozenset({'exec_inorder_higher'}),1
10,0.8700147710487445,frozenset({'exec_skips_lower'}),1
11,0.8404726735598228,frozenset({'has_error_F'}),1
12,0.6905465288035451,frozenset({'has_export_F'}),1
13,0.8515509601181684,frozenset({'num_functions_lower'}),1
14,0.9992614475627769,frozenset({'has_test_F'}),1
15,0.9889217134416544,frozenset({'has_param_F'}),1
16,0.9593796159527327,frozenset({'num_stars_lower'}),1
17,0.6698670605612999,"frozenset({'jupyter_prop_high', 'has_author_F'})",2
18,0.5827178729689808,"frozenset({'output_cell_prop_med', 'has_author_F'})",2
19,0.9047267355982275,"frozenset({'num_contrib_lower', 'has_author_F'})",2
20,0.6676514032496307,"frozenset({'image_prop_low', 'has_author_F'})",2
21,0.8833087149187593,"frozenset({'is_education_F', 'has_author_F'})",2
22,0.6698670605612999,"frozenset({'has_comments_T', 'has_author_F'})",2
23,0.7614475627769571,"frozenset({'num_commits_lower', 'has_author_F'})",2
24,0.9165435745937962,"frozenset({'non_exec_prop_lower', 'has_author_F'})",2
25,0.8810930576070901,"frozenset({'exec_inorder_higher', 'has_author_F'})",2
26,0.861890694239291,"frozenset({'exec_skips_lower', 'has_author_F'})",2
27,0.8338257016248154,"frozenset({'has_error_F', 'has_author_F'})",2
28,0.689069423929099,"frozenset({'has_export_F', 'has_author_F'})",2
29,0.8493353028064993,"frozenset({'num_functions_lower', 'has_author_F'})",2
30,0.9903988183161004,"frozenset({'has_test_F', 'has_author_F'})",2
31,0.9800590841949779,"frozenset({'has_param_F', 'has_author_F'})",2
32,0.9505169867060561,"frozenset({'num_stars_lower', 'has_author_F'})",2
33,0.6152141802067946,"frozenset({'jupyter_prop_high', 'num_contrib_lower'})",2
34,0.6107828655834564,"frozenset({'jupyter_prop_high', 'is_education_F'})",2
35,0.5273264401772526,"frozenset({'jupyter_prop_high', 'num_commits_lower'})",2
36,0.6233382570162481,"frozenset({'jupyter_prop_high', 'non_exec_prop_lower'})",2
37,0.6026587887740029,"frozenset({'jupyter_prop_high', 'exec_inorder_higher'})",2
38,0.5878877400295421,"frozenset({'exec_skips_lower', 'jupyter_prop_high'})",2
39,0.5546528803545052,"frozenset({'jupyter_prop_high', 'has_error_F'})",2
40,0.5812407680945347,"frozenset({'num_functions_lower', 'jupyter_prop_high'})",2
41,0.672082717872969,"frozenset({'jupyter_prop_high', 'has_test_F'})",2
42,0.6624815361890695,"frozenset({'jupyter_prop_high', 'has_param_F'})",2
43,0.6573116691285081,"frozenset({'num_stars_lower', 'jupyter_prop_high'})",2
44,0.5413589364844904,"frozenset({'output_cell_prop_med', 'num_contrib_lower'})",2
45,0.5265878877400295,"frozenset({'is_education_F', 'output_cell_prop_med'})",2
46,0.5819793205317577,"frozenset({'non_exec_prop_lower', 'output_cell_prop_med'})",2
47,0.51698670605613,"frozenset({'output_cell_prop_med', 'exec_inorder_higher'})",2
48,0.5036927621861153,"frozenset({'num_functions_lower', 'output_cell_prop_med'})",2
49,0.5864106351550961,"frozenset({'has_test_F', 'output_cell_prop_med'})",2
50,0.5797636632200887,"frozenset({'output_cell_prop_med', 'has_param_F'})",2
51,0.5657311669128509,"frozenset({'num_stars_lower', 'output_cell_prop_med'})",2
52,0.604135893648449,"frozenset({'image_prop_low', 'num_contrib_lower'})",2
53,0.810192023633678,"frozenset({'is_education_F', 'num_contrib_lower'})",2
54,0.620384047267356,"frozenset({'has_comments_T', 'num_contrib_lower'})",2
55,0.7112259970457903,"frozenset({'num_commits_lower', 'num_contrib_lower'})",2
56,0.8397341211225997,"frozenset({'non_exec_prop_lower', 'num_contrib_lower'})",2
57,0.8064992614475628,"frozenset({'exec_inorder_higher', 'num_contrib_lower'})",2
58,0.7865583456425406,"frozenset({'exec_skips_lower', 'num_contrib_lower'})",2
59,0.757754800590842,"frozenset({'has_error_F', 'num_contrib_lower'})",2
60,0.6410635155096012,"frozenset({'has_export_F', 'num_contrib_lower'})",2
61,0.7703101920236337,"frozenset({'num_functions_lower', 'num_contrib_lower'})",2
62,0.9121122599704579,"frozenset({'has_test_F', 'num_contrib_lower'})",2
63,0.9017725258493353,"frozenset({'has_param_F', 'num_contrib_lower'})",2
64,0.8774002954209749,"frozenset({'num_stars_lower', 'num_contrib_lower'})",2
65,0.5997045790251108,"frozenset({'is_education_F', 'image_prop_low'})",2
66,0.5420974889217134,"frozenset({'num_commits_lower', 'image_prop_low'})",2
67,0.6011816838995568,"frozenset({'non_exec_prop_lower', 'image_prop_low'})",2
68,0.6107828655834564,"frozenset({'image_prop_low', 'exec_inorder_higher'})",2
69,0.604135893648449,"frozenset({'exec_skips_lower', 'image_prop_low'})",2
70,0.5657311669128509,"frozenset({'has_error_F', 'image_prop_low'})",2
71,0.5745937961595273,"frozenset({'num_functions_lower', 'image_prop_low'})",2
72,0.6750369276218612,"frozenset({'has_test_F', 'image_prop_low'})",2
73,0.6691285081240768,"frozenset({'has_param_F', 'image_prop_low'})",2
74,0.6454948301329394,"frozenset({'num_stars_lower', 'image_prop_low'})",2
75,0.6063515509601182,"frozenset({'is_education_F', 'has_comments_T'})",2
76,0.6824224519940916,"frozenset({'num_commits_lower', 'is_education_F'})",2
77,0.8249630723781388,"frozenset({'non_exec_prop_lower', 'is_education_F'})",2
78,0.7902511078286558,"frozenset({'is_education_F', 'exec_inorder_higher'})",2
79,0.7725258493353028,"frozenset({'exec_skips_lower', 'is_education_F'})",2
80,0.7444608567208272,"frozenset({'has_error_F', 'is_education_F'})",2
81,0.6093057607090103,"frozenset({'has_export_F', 'is_education_F'})",2
82,0.7496307237813885,"frozenset({'num_functions_lower', 'is_education_F'})",2
83,0.8914327917282127,"frozenset({'has_test_F', 'is_education_F'})",2
84,0.8818316100443131,"frozenset({'is_education_F', 'has_param_F'})",2
85,0.8670605612998523,"frozenset({'num_stars_lower', 'is_education_F'})",2
86,0.6174298375184638,"frozenset({'non_exec_prop_lower', 'has_comments_T'})",2
87,0.5974889217134417,"frozenset({'has_comments_T', 'exec_inorder_higher'})",2
88,0.5797636632200887,"frozenset({'exec_skips_lower', 'has_comments_T'})",2
89,0.5642540620384048,"frozenset({'has_error_F', 'has_comments_T'})",2
90,0.5539143279172821,"frozenset({'num_functions_lower', 'has_comments_T'})",2
91,0.6779911373707533,"frozenset({'has_test_F', 'has_comments_T'})",2
92,0.6713441654357459,"frozenset({'has_comments_T', 'has_param_F'})",2
93,0.6462333825701625,"frozenset({'num_stars_lower', 'has_comments_T'})",2
94,0.7104874446085672,"frozenset({'non_exec_prop_lower', 'num_commits_lower'})",2
95,0.6875923190546529,"frozenset({'num_commits_lower', 'exec_inorder_higher'})",2
96,0.6824224519940916,"frozenset({'exec_skips_lower', 'num_commits_lower'})",2
97,0.6403249630723782,"frozenset({'has_error_F', 'num_commits_lower'})",2
98,0.5332348596750369,"frozenset({'has_export_F', 'num_commits_lower'})",2
99,0.6499261447562777,"frozenset({'num_functions_lower', 'num_commits_lower'})",2
100,0.7680945347119645,"frozenset({'has_test_F', 'num_commits_lower'})",2
101,0.758493353028065,"frozenset({'num_commits_lower', 'has_param_F'})",2
102,0.7333825701624815,"frozenset({'num_stars_lower', 'num_commits_lower'})",2
103,0.8131462333825702,"frozenset({'non_exec_prop_lower', 'exec_inorder_higher'})",2
104,0.7917282127031019,"frozenset({'exec_skips_lower', 'non_exec_prop_lower'})",2
105,0.7644017725258493,"frozenset({'has_error_F', 'non_exec_prop_lower'})",2
106,0.6440177252584933,"frozenset({'has_export_F', 'non_exec_prop_lower'})",2
107,0.794682422451994,"frozenset({'num_functions_lower', 'non_exec_prop_lower'})",2
108,0.9217134416543574,"frozenset({'non_exec_prop_lower', 'has_test_F'})",2
109,0.9106351550960118,"frozenset({'non_exec_prop_lower', 'has_param_F'})",2
110,0.8825701624815362,"frozenset({'num_stars_lower', 'non_exec_prop_lower'})",2
111,0.7991137370753324,"frozenset({'exec_skips_lower', 'exec_inorder_higher'})",2
112,0.7658788774002954,"frozenset({'has_error_F', 'exec_inorder_higher'})",2
113,0.6070901033973413,"frozenset({'has_export_F', 'exec_inorder_higher'})",2
114,0.7592319054652881,"frozenset({'num_functions_lower', 'exec_inorder_higher'})",2
115,0.8884785819793205,"frozenset({'has_test_F', 'exec_inorder_higher'})",2
116,0.8788774002954209,"frozenset({'has_param_F', 'exec_inorder_higher'})",2
117,0.8545051698670606,"frozenset({'num_stars_lower', 'exec_inorder_higher'})",2
118,0.7511078286558346,"frozenset({'exec_skips_lower', 'has_error_F'})",2
119,0.6070901033973413,"frozenset({'exec_skips_lower', 'has_export_F'})",2
120,0.7518463810930576,"frozenset({'num_functions_lower', 'exec_skips_lower'})",2
121,0.8692762186115214,"frozenset({'exec_skips_lower', 'has_test_F'})",2
122,0.8633677991137371,"frozenset({'exec_skips_lower', 'has_param_F'})",2
123,0.8316100443131462,"frozenset({'num_stars_lower', 'exec_skips_lower'})",2
