,support,itemsets,length
0,0.5438673068529026,frozenset({'longer_beginning_T'}),1
1,0.7411610650371017,frozenset({'longer_ending_F'}),1
2,0.9532955041466609,frozenset({'has_author_F'}),1
3,0.8061981667394151,frozenset({'has_equation_F'}),1
4,0.7874290702749891,frozenset({'jupyter_prop_high'}),1
5,0.8201658664338717,frozenset({'markdown_prop_med'}),1
6,0.934089917066783,frozenset({'num_contrib_lower'}),1
7,0.5416848537756438,frozenset({'image_prop_low'}),1
8,0.5766041030117852,frozenset({'is_education_T'}),1
9,0.6211261457878655,frozenset({'has_links_F'}),1
10,0.8895678742907027,frozenset({'has_comments_T'}),1
11,0.5569620253164557,frozenset({'md_frequency_med'}),1
12,0.6451331296377127,frozenset({'has_title_T'}),1
13,0.864687909209952,frozenset({'num_commits_lower'}),1
14,0.539502400698385,frozenset({'md_format_F'}),1
15,0.8742907027498908,frozenset({'non_exec_prop_low'}),1
16,0.9515495416848537,frozenset({'exec_inorder_higher'}),1
17,0.8402444347446529,frozenset({'exec_skips_lower'}),1
18,0.8659973810563073,frozenset({'has_error_F'}),1
19,0.5159319074639895,"frozenset({'longer_beginning_T', 'has_author_F'})",2
20,0.50371017023134,"frozenset({'longer_beginning_T', 'num_contrib_lower'})",2
21,0.5032736796158882,"frozenset({'longer_beginning_T', 'has_comments_T'})",2
22,0.5163683980794412,"frozenset({'exec_inorder_higher', 'longer_beginning_T'})",2
23,0.7132256656481886,"frozenset({'longer_ending_F', 'has_author_F'})",2
24,0.6206896551724138,"frozenset({'longer_ending_F', 'has_equation_F'})",2
25,0.614578786556089,"frozenset({'jupyter_prop_high', 'longer_ending_F'})",2
26,0.6150152771715408,"frozenset({'markdown_prop_med', 'longer_ending_F'})",2
27,0.6948930597992143,"frozenset({'longer_ending_F', 'num_contrib_lower'})",2
28,0.5268441728502837,"frozenset({'longer_ending_F', 'has_links_F'})",2
29,0.6604103011785246,"frozenset({'longer_ending_F', 'has_comments_T'})",2
30,0.6486250545613269,"frozenset({'num_commits_lower', 'longer_ending_F'})",2
31,0.6577913574858141,"frozenset({'longer_ending_F', 'non_exec_prop_low'})",2
32,0.7031863814927979,"frozenset({'exec_inorder_higher', 'longer_ending_F'})",2
33,0.6224356176342208,"frozenset({'exec_skips_lower', 'longer_ending_F'})",2
34,0.631601920558708,"frozenset({'has_error_F', 'longer_ending_F'})",2
35,0.7734613705805325,"frozenset({'has_author_F', 'has_equation_F'})",2
36,0.7564382365779135,"frozenset({'jupyter_prop_high', 'has_author_F'})",2
37,0.7852466171977303,"frozenset({'markdown_prop_med', 'has_author_F'})",2
38,0.8886948930597992,"frozenset({'has_author_F', 'num_contrib_lower'})",2
39,0.516804888694893,"frozenset({'has_author_F', 'image_prop_low'})",2
40,0.5443037974683544,"frozenset({'is_education_T', 'has_author_F'})",2
41,0.6045395024006984,"frozenset({'has_author_F', 'has_links_F'})",2
42,0.8463553033609778,"frozenset({'has_author_F', 'has_comments_T'})",2
43,0.5264076822348319,"frozenset({'has_author_F', 'md_frequency_med'})",2
44,0.6089044085552161,"frozenset({'has_title_T', 'has_author_F'})",2
45,0.8319511130510694,"frozenset({'num_commits_lower', 'has_author_F'})",2
46,0.5250982103884766,"frozenset({'md_format_F', 'has_author_F'})",2
47,0.8336970755128764,"frozenset({'has_author_F', 'non_exec_prop_low'})",2
48,0.907900480139677,"frozenset({'exec_inorder_higher', 'has_author_F'})",2
49,0.8066346573548668,"frozenset({'exec_skips_lower', 'has_author_F'})",2
50,0.8240942819729375,"frozenset({'has_error_F', 'has_author_F'})",2
51,0.6460061108686164,"frozenset({'jupyter_prop_high', 'has_equation_F'})",2
52,0.6647752073330423,"frozenset({'markdown_prop_med', 'has_equation_F'})",2
53,0.7542557835006547,"frozenset({'has_equation_F', 'num_contrib_lower'})",2
54,0.5277171540811872,"frozenset({'has_equation_F', 'has_links_F'})",2
55,0.7132256656481886,"frozenset({'has_equation_F', 'has_comments_T'})",2
56,0.515058926233086,"frozenset({'has_title_T', 'has_equation_F'})",2
57,0.7071147970318639,"frozenset({'num_commits_lower', 'has_equation_F'})",2
58,0.7079877782627674,"frozenset({'has_equation_F', 'non_exec_prop_low'})",2
59,0.7660410301178525,"frozenset({'exec_inorder_higher', 'has_equation_F'})",2
60,0.6817983413356613,"frozenset({'exec_skips_lower', 'has_equation_F'})",2
61,0.6922741161065037,"frozenset({'has_error_F', 'has_equation_F'})",2
62,0.6643387167175906,"frozenset({'markdown_prop_med', 'jupyter_prop_high'})",2
63,0.7529463116542995,"frozenset({'jupyter_prop_high', 'num_contrib_lower'})",2
64,0.5185508511567001,"frozenset({'jupyter_prop_high', 'has_links_F'})",2
65,0.7001309471846355,"frozenset({'jupyter_prop_high', 'has_comments_T'})",2
66,0.5050196420776953,"frozenset({'jupyter_prop_high', 'has_title_T'})",2
67,0.6975120034919249,"frozenset({'jupyter_prop_high', 'num_commits_lower'})",2
68,0.686163247490179,"frozenset({'jupyter_prop_high', 'non_exec_prop_low'})",2
69,0.7507638585770406,"frozenset({'exec_inorder_higher', 'jupyter_prop_high'})",2
70,0.6708860759493671,"frozenset({'jupyter_prop_high', 'exec_skips_lower'})",2
71,0.678742907027499,"frozenset({'jupyter_prop_high', 'has_error_F'})",2
72,0.7651680488869489,"frozenset({'markdown_prop_med', 'num_contrib_lower'})",2
73,0.5264076822348319,"frozenset({'markdown_prop_med', 'has_links_F'})",2
74,0.736796158882584,"frozenset({'markdown_prop_med', 'has_comments_T'})",2
75,0.5303360977738979,"frozenset({'markdown_prop_med', 'has_title_T'})",2
76,0.7079877782627674,"frozenset({'markdown_prop_med', 'num_commits_lower'})",2
77,0.7202095154954169,"frozenset({'markdown_prop_med', 'non_exec_prop_low'})",2
78,0.7808817110432126,"frozenset({'exec_inorder_higher', 'markdown_prop_med'})",2
79,0.695329550414666,"frozenset({'markdown_prop_med', 'exec_skips_lower'})",2
80,0.7097337407245744,"frozenset({'markdown_prop_med', 'has_error_F'})",2
81,0.5368834570056744,"frozenset({'is_education_T', 'num_contrib_lower'})",2
82,0.5809690091663029,"frozenset({'has_links_F', 'num_contrib_lower'})",2
83,0.8354430379746836,"frozenset({'num_contrib_lower', 'has_comments_T'})",2
84,0.5159319074639895,"frozenset({'num_contrib_lower', 'md_frequency_med'})",2
85,0.6049759930161501,"frozenset({'has_title_T', 'num_contrib_lower'})",2
86,0.8280226975120035,"frozenset({'num_commits_lower', 'num_contrib_lower'})",2
87,0.51113051069402,"frozenset({'md_format_F', 'num_contrib_lower'})",2
88,0.8267132256656482,"frozenset({'num_contrib_lower', 'non_exec_prop_low'})",2
89,0.8882584024443474,"frozenset({'exec_inorder_higher', 'num_contrib_lower'})",2
90,0.7786992579659537,"frozenset({'exec_skips_lower', 'num_contrib_lower'})",2
91,0.8066346573548668,"frozenset({'has_error_F', 'num_contrib_lower'})",2
92,0.5202968136185072,"frozenset({'exec_inorder_higher', 'image_prop_low'})",2
93,0.516804888694893,"frozenset({'is_education_T', 'has_comments_T'})",2
94,0.5486687036228721,"frozenset({'is_education_T', 'exec_inorder_higher'})",2
95,0.5050196420776953,"frozenset({'is_education_T', 'has_error_F'})",2
96,0.5438673068529026,"frozenset({'has_links_F', 'has_comments_T'})",2
97,0.5486687036228721,"frozenset({'num_commits_lower', 'has_links_F'})",2
98,0.5626364033173287,"frozenset({'has_links_F', 'non_exec_prop_low'})",2
99,0.5936272370144042,"frozenset({'exec_inorder_higher', 'has_links_F'})",2
100,0.5259711916193802,"frozenset({'exec_skips_lower', 'has_links_F'})",2
101,0.5333915320820602,"frozenset({'has_error_F', 'has_links_F'})",2
102,0.5744216499345264,"frozenset({'has_title_T', 'has_comments_T'})",2
103,0.7616761239633348,"frozenset({'num_commits_lower', 'has_comments_T'})",2
104,0.7747708424268879,"frozenset({'non_exec_prop_low', 'has_comments_T'})",2
105,0.8481012658227848,"frozenset({'exec_inorder_higher', 'has_comments_T'})",2
106,0.7376691401134876,"frozenset({'exec_skips_lower', 'has_comments_T'})",2
107,0.7599301615015277,"frozenset({'has_error_F', 'has_comments_T'})",2
108,0.5281536446966391,"frozenset({'exec_inorder_higher', 'md_frequency_med'})",2
109,0.5635093845482322,"frozenset({'has_title_T', 'num_commits_lower'})",2
110,0.5665648188563945,"frozenset({'has_title_T', 'non_exec_prop_low'})",2
111,0.6211261457878655,"frozenset({'exec_inorder_higher', 'has_title_T'})",2
112,0.5473592317765168,"frozenset({'exec_skips_lower', 'has_title_T'})",2
113,0.5635093845482322,"frozenset({'has_error_F', 'has_title_T'})",2
114,0.7603666521169795,"frozenset({'num_commits_lower', 'non_exec_prop_low'})",2
115,0.8249672632038412,"frozenset({'exec_inorder_higher', 'num_commits_lower'})",2
116,0.7333042339589699,"frozenset({'exec_skips_lower', 'num_commits_lower'})",2
117,0.7507638585770406,"frozenset({'has_error_F', 'num_commits_lower'})",2
118,0.5141859450021824,"frozenset({'exec_inorder_higher', 'md_format_F'})",2
119,0.8297686599738106,"frozenset({'exec_inorder_higher', 'non_exec_prop_low'})",2
120,0.7210824967263204,"frozenset({'exec_skips_lower', 'non_exec_prop_low'})",2
121,0.7586206896551724,"frozenset({'has_error_F', 'non_exec_prop_low'})",2
122,0.8201658664338717,"frozenset({'exec_inorder_higher', 'exec_skips_lower'})",2
123,0.8284591881274552,"frozenset({'exec_inorder_higher', 'has_error_F'})",2
124,0.7394151025752946,"frozenset({'exec_skips_lower', 'has_error_F'})",2
125,0.6019205587079878,"frozenset({'has_equation_F', 'longer_ending_F', 'has_author_F'})",3
126,0.5914447839371454,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'has_author_F'})",3
127,0.5949367088607594,"frozenset({'markdown_prop_med', 'longer_ending_F', 'has_author_F'})",3
128,0.6678306416412048,"frozenset({'longer_ending_F', 'has_author_F', 'num_contrib_lower'})",3
129,0.5133129637712789,"frozenset({'has_links_F', 'longer_ending_F', 'has_author_F'})",3
130,0.6350938454823222,"frozenset({'longer_ending_F', 'has_author_F', 'has_comments_T'})",3
131,0.6294194674814492,"frozenset({'num_commits_lower', 'longer_ending_F', 'has_author_F'})",3
132,0.6346573548668704,"frozenset({'longer_ending_F', 'has_author_F', 'non_exec_prop_low'})",3
133,0.6778699257965953,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'has_author_F'})",3
134,0.6010475774770843,"frozenset({'exec_skips_lower', 'longer_ending_F', 'has_author_F'})",3
135,0.6058489742470536,"frozenset({'has_error_F', 'longer_ending_F', 'has_author_F'})",3
136,0.5242252291575731,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'has_equation_F'})",3
137,0.515058926233086,"frozenset({'markdown_prop_med', 'longer_ending_F', 'has_equation_F'})",3
138,0.5840244434744652,"frozenset({'longer_ending_F', 'has_equation_F', 'num_contrib_lower'})",3
139,0.550851156700131,"frozenset({'longer_ending_F', 'has_equation_F', 'has_comments_T'})",3
140,0.5517241379310345,"frozenset({'num_commits_lower', 'longer_ending_F', 'has_equation_F'})",3
141,0.5521606285464863,"frozenset({'longer_ending_F', 'has_equation_F', 'non_exec_prop_low'})",3
142,0.5892623308598866,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'has_equation_F'})",3
143,0.5246617197730249,"frozenset({'exec_skips_lower', 'longer_ending_F', 'has_equation_F'})",3
144,0.5264076822348319,"frozenset({'has_error_F', 'longer_ending_F', 'has_equation_F'})",3
145,0.5137494543867307,"frozenset({'markdown_prop_med', 'jupyter_prop_high', 'longer_ending_F'})",3
146,0.5896988214753383,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'num_contrib_lower'})",3
147,0.546922741161065,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'has_comments_T'})",3
148,0.5504146660846791,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'longer_ending_F'})",3
149,0.5434308162374509,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'non_exec_prop_low'})",3
150,0.5853339153208206,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'longer_ending_F'})",3
151,0.5211697948494107,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'longer_ending_F'})",3
152,0.5250982103884766,"frozenset({'jupyter_prop_high', 'longer_ending_F', 'has_error_F'})",3
153,0.5744216499345264,"frozenset({'markdown_prop_med', 'longer_ending_F', 'num_contrib_lower'})",3
154,0.5539065910082933,"frozenset({'markdown_prop_med', 'longer_ending_F', 'has_comments_T'})",3
155,0.5381929288520296,"frozenset({'markdown_prop_med', 'num_commits_lower', 'longer_ending_F'})",3
156,0.5473592317765168,"frozenset({'markdown_prop_med', 'longer_ending_F', 'non_exec_prop_low'})",3
157,0.58271497162811,"frozenset({'exec_inorder_higher', 'markdown_prop_med', 'longer_ending_F'})",3
158,0.5211697948494107,"frozenset({'markdown_prop_med', 'exec_skips_lower', 'longer_ending_F'})",3
159,0.5272806634657354,"frozenset({'markdown_prop_med', 'has_error_F', 'longer_ending_F'})",3
160,0.6233085988651244,"frozenset({'longer_ending_F', 'num_contrib_lower', 'has_comments_T'})",3
161,0.6193801833260585,"frozenset({'num_commits_lower', 'longer_ending_F', 'num_contrib_lower'})",3
162,0.6211261457878655,"frozenset({'longer_ending_F', 'num_contrib_lower', 'non_exec_prop_low'})",3
163,0.6591008293321694,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'num_contrib_lower'})",3
164,0.5796595373199476,"frozenset({'exec_skips_lower', 'longer_ending_F', 'num_contrib_lower'})",3
165,0.5901353120907901,"frozenset({'has_error_F', 'longer_ending_F', 'num_contrib_lower'})",3
166,0.5024006983849847,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'has_links_F'})",3
167,0.5739851593190747,"frozenset({'num_commits_lower', 'longer_ending_F', 'has_comments_T'})",3
168,0.5822784810126582,"frozenset({'non_exec_prop_low', 'longer_ending_F', 'has_comments_T'})",3
169,0.6281099956350938,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'has_comments_T'})",3
170,0.5477957223919686,"frozenset({'exec_skips_lower', 'longer_ending_F', 'has_comments_T'})",3
171,0.5539065910082933,"frozenset({'has_error_F', 'longer_ending_F', 'has_comments_T'})",3
172,0.5787865560890441,"frozenset({'num_commits_lower', 'longer_ending_F', 'non_exec_prop_low'})",3
173,0.6180707114797032,"frozenset({'exec_inorder_higher', 'num_commits_lower', 'longer_ending_F'})",3
174,0.550851156700131,"frozenset({'exec_skips_lower', 'num_commits_lower', 'longer_ending_F'})",3
175,0.5543430816237451,"frozenset({'has_error_F', 'num_commits_lower', 'longer_ending_F'})",3
176,0.6224356176342208,"frozenset({'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",3
177,0.5429943256219991,"frozenset({'exec_skips_lower', 'longer_ending_F', 'non_exec_prop_low'})",3
178,0.5626364033173287,"frozenset({'has_error_F', 'longer_ending_F', 'non_exec_prop_low'})",3
179,0.6049759930161501,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'longer_ending_F'})",3
180,0.6032300305543431,"frozenset({'exec_inorder_higher', 'has_error_F', 'longer_ending_F'})",3
181,0.5416848537756438,"frozenset({'exec_skips_lower', 'longer_ending_F', 'has_error_F'})",3
182,0.625927542557835,"frozenset({'jupyter_prop_high', 'has_author_F', 'has_equation_F'})",3
183,0.6394587516368399,"frozenset({'markdown_prop_med', 'has_author_F', 'has_equation_F'})",3
184,0.7223919685726757,"frozenset({'has_author_F', 'has_equation_F', 'num_contrib_lower'})",3
185,0.5133129637712789,"frozenset({'has_equation_F', 'has_author_F', 'has_links_F'})",3
186,0.6826713225665648,"frozenset({'has_author_F', 'has_equation_F', 'has_comments_T'})",3
187,0.6839807944129201,"frozenset({'num_commits_lower', 'has_author_F', 'has_equation_F'})",3
188,0.678742907027499,"frozenset({'has_author_F', 'has_equation_F', 'non_exec_prop_low'})",3
189,0.7363596682671323,"frozenset({'exec_inorder_higher', 'has_author_F', 'has_equation_F'})",3
190,0.6612832824094282,"frozenset({'exec_skips_lower', 'has_author_F', 'has_equation_F'})",3
191,0.6634657354866871,"frozenset({'has_error_F', 'has_author_F', 'has_equation_F'})",3
192,0.6403317328677434,"frozenset({'markdown_prop_med', 'jupyter_prop_high', 'has_author_F'})",3
193,0.7219554779572239,"frozenset({'jupyter_prop_high', 'has_author_F', 'num_contrib_lower'})",3
194,0.5050196420776953,"frozenset({'jupyter_prop_high', 'has_author_F', 'has_links_F'})",3
195,0.6717590571802706,"frozenset({'jupyter_prop_high', 'has_author_F', 'has_comments_T'})",3
196,0.6765604539502401,"frozenset({'jupyter_prop_high', 'num_commits_lower', 'has_author_F'})",3
197,0.6599738105630729,"frozenset({'jupyter_prop_high', 'has_author_F', 'non_exec_prop_low'})",3
198,0.7210824967263204,"frozenset({'exec_inorder_higher', 'jupyter_prop_high', 'has_author_F'})",3
199,0.6468790920995199,"frozenset({'jupyter_prop_high', 'exec_skips_lower', 'has_author_F'})",3
200,0.6512439982540376,"frozenset({'jupyter_prop_high', 'has_author_F', 'has_error_F'})",3
201,0.7306852902662593,"frozenset({'markdown_prop_med', 'has_author_F', 'num_contrib_lower'})",3
202,0.5141859450021824,"frozenset({'markdown_prop_med', 'has_author_F', 'has_links_F'})",3
203,0.7040593627237014,"frozenset({'markdown_prop_med', 'has_author_F', 'has_comments_T'})",3
204,0.5024006983849847,"frozenset({'markdown_prop_med', 'has_title_T', 'has_author_F'})",3
205,0.682234831951113,"frozenset({'markdown_prop_med', 'num_commits_lower', 'has_author_F'})",3
206,0.6887821911828895,"frozenset({'markdown_prop_med', 'has_author_F', 'non_exec_prop_low'})",3
207,0.7472719336534265,"frozenset({'exec_inorder_higher', 'markdown_prop_med', 'has_author_F'})",3
208,0.6713225665648188,"frozenset({'markdown_prop_med', 'exec_skips_lower', 'has_author_F'})",3
209,0.6783064164120471,"frozenset({'markdown_prop_med', 'has_error_F', 'has_author_F'})",3
210,0.5050196420776953,"frozenset({'is_education_T', 'has_author_F', 'num_contrib_lower'})",3
211,0.5652553470100393,"frozenset({'has_author_F', 'has_links_F', 'num_contrib_lower'})",3
212,0.7931034482758621,"frozenset({'has_author_F', 'num_contrib_lower', 'has_comments_T'})",3
213,0.569620253164557,"frozenset({'has_title_T', 'has_author_F', 'num_contrib_lower'})",3
214,0.7957223919685726,"frozenset({'num_commits_lower', 'has_author_F', 'num_contrib_lower'})",3
215,0.7874290702749891,"frozenset({'has_author_F', 'num_contrib_lower', 'non_exec_prop_low'})",3
216,0.8454823221300742,"frozenset({'exec_inorder_higher', 'has_author_F', 'num_contrib_lower'})",3
217,0.7459624618070712,"frozenset({'exec_skips_lower', 'has_author_F', 'num_contrib_lower'})",3
218,0.7660410301178525,"frozenset({'has_error_F', 'has_author_F', 'num_contrib_lower'})",3
219,0.5172413793103449,"frozenset({'exec_inorder_higher', 'is_education_T', 'has_author_F'})",3
220,0.5281536446966391,"frozenset({'has_author_F', 'has_links_F', 'has_comments_T'})",3
221,0.5368834570056744,"frozenset({'num_commits_lower', 'has_author_F', 'has_links_F'})",3
222,0.5482322130074203,"frozenset({'has_author_F', 'has_links_F', 'non_exec_prop_low'})",3
223,0.5787865560890441,"frozenset({'exec_inorder_higher', 'has_author_F', 'has_links_F'})",3
224,0.515058926233086,"frozenset({'exec_skips_lower', 'has_author_F', 'has_links_F'})",3
225,0.5181143605412484,"frozenset({'has_error_F', 'has_author_F', 'has_links_F'})",3
226,0.5416848537756438,"frozenset({'has_title_T', 'has_author_F', 'has_comments_T'})",3
227,0.7315582714971628,"frozenset({'num_commits_lower', 'has_author_F', 'has_comments_T'})",3
228,0.7376691401134876,"frozenset({'non_exec_prop_low', 'has_author_F', 'has_comments_T'})",3
229,0.8079441292012222,"frozenset({'exec_inorder_higher', 'has_author_F', 'has_comments_T'})",3
230,0.7071147970318639,"frozenset({'exec_skips_lower', 'has_author_F', 'has_comments_T'})",3
231,0.7215189873417721,"frozenset({'has_error_F', 'has_author_F', 'has_comments_T'})",3
232,0.5368834570056744,"frozenset({'has_title_T', 'has_author_F', 'num_commits_lower'})",3
233,0.5333915320820602,"frozenset({'has_title_T', 'has_author_F', 'non_exec_prop_low'})",3
234,0.5866433871671759,"frozenset({'exec_inorder_higher', 'has_title_T', 'has_author_F'})",3
235,0.5220427760803142,"frozenset({'exec_skips_lower', 'has_title_T', 'has_author_F'})",3
236,0.5298996071584461,"frozenset({'has_error_F', 'has_title_T', 'has_author_F'})",3
237,0.7315582714971628,"frozenset({'num_commits_lower', 'has_author_F', 'non_exec_prop_low'})",3
238,0.7948494107376691,"frozenset({'exec_inorder_higher', 'num_commits_lower', 'has_author_F'})",3
239,0.7106067219554779,"frozenset({'exec_skips_lower', 'num_commits_lower', 'has_author_F'})",3
240,0.7206460061108686,"frozenset({'has_error_F', 'num_commits_lower', 'has_author_F'})",3
241,0.5015277171540812,"frozenset({'exec_inorder_higher', 'md_format_F', 'has_author_F'})",3
242,0.7917939764295068,"frozenset({'exec_inorder_higher', 'has_author_F', 'non_exec_prop_low'})",3
243,0.6931470973374072,"frozenset({'exec_skips_lower', 'has_author_F', 'non_exec_prop_low'})",3
244,0.7206460061108686,"frozenset({'has_error_F', 'has_author_F', 'non_exec_prop_low'})",3
245,0.7869925796595373,"frozenset({'exec_inorder_higher', 'exec_skips_lower', 'has_author_F'})",3
246,0.7891750327367961,"frozenset({'exec_inorder_higher', 'has_error_F', 'has_author_F'})",3
247,0.7088607594936709,"frozenset({'exec_skips_lower', 'has_author_F', 'has_error_F'})",3
248,0.5482322130074203,"frozenset({'markdown_prop_med', 'jupyter_prop_high', 'has_equation_F'})",3
