,support,itemsets,length
19,0.5159319074639895,"({'has_author_F', 'longer_beginning_T'})",2
20,0.50371017023134,"({'longer_beginning_T', 'num_contrib_lower'})",2
21,0.5032736796158882,"({'longer_beginning_T', 'has_comments_T'})",2
22,0.5163683980794412,"({'exec_inorder_higher', 'longer_beginning_T'})",2
39,0.516804888694893,"({'has_author_F', 'image_prop_low'})",2
43,0.5264076822348319,"({'md_frequency_med', 'has_author_F'})",2
56,0.515058926233086,"({'has_equation_F', 'has_title_T'})",2
66,0.5050196420776953,"({'jupyter_prop_high', 'has_title_T'})",2
84,0.5159319074639895,"({'md_frequency_med', 'num_contrib_lower'})",2
87,0.51113051069402,"({'md_format_F', 'num_contrib_lower'})",2
92,0.5202968136185072,"({'exec_inorder_higher', 'image_prop_low'})",2
93,0.516804888694893,"({'is_education_T', 'has_comments_T'})",2
95,0.5050196420776953,"({'is_education_T', 'has_error_F'})",2
108,0.5281536446966391,"({'exec_inorder_higher', 'md_frequency_med'})",2
129,0.5133129637712789,"({'has_author_F', 'longer_ending_F', 'has_links_F'})",3
145,0.5137494543867307,"({'jupyter_prop_high', 'markdown_prop_med', 'longer_ending_F'})",3
166,0.5024006983849847,"({'exec_inorder_higher', 'has_links_F', 'longer_ending_F'})",3
185,0.5133129637712789,"({'has_equation_F', 'has_author_F', 'has_links_F'})",3
194,0.5050196420776953,"({'has_author_F', 'jupyter_prop_high', 'has_links_F'})",3
202,0.5141859450021824,"({'has_author_F', 'markdown_prop_med', 'has_links_F'})",3
204,0.5024006983849847,"({'has_author_F', 'markdown_prop_med', 'has_title_T'})",3
210,0.5050196420776953,"({'is_education_T', 'has_author_F', 'num_contrib_lower'})",3
219,0.5172413793103449,"({'exec_inorder_higher', 'is_education_T', 'has_author_F'})",3
225,0.5181143605412484,"({'has_author_F', 'has_error_F', 'has_links_F'})",3
241,0.5015277171540812,"({'exec_inorder_higher', 'has_author_F', 'md_format_F'})",3
269,0.5050196420776953,"({'exec_inorder_higher', 'has_equation_F', 'has_links_F'})",3
319,0.5032736796158882,"({'exec_inorder_higher', 'markdown_prop_med', 'has_links_F'})",3
325,0.5102575294631165,"({'exec_inorder_higher', 'markdown_prop_med', 'has_title_T'})",3
336,0.5098210388476647,"({'exec_inorder_higher', 'is_education_T', 'num_contrib_lower'})",3
337,0.5124399825403754,"({'num_contrib_lower', 'has_comments_T', 'has_links_F'})",3
350,0.5089480576167612,"({'num_contrib_lower', 'exec_skips_lower', 'has_title_T'})",3
363,0.5028371890004365,"({'non_exec_prop_low', 'num_commits_lower', 'has_links_F'})",3
367,0.5133129637712789,"({'exec_inorder_higher', 'has_error_F', 'has_links_F'})",3
368,0.5032736796158882,"({'has_comments_T', 'non_exec_prop_low', 'has_title_T'})",3
394,0.5098210388476647,"({'has_equation_F', 'has_author_F', 'jupyter_prop_high', 'longer_ending_F'})",4
395,0.501964207769533,"({'has_equation_F', 'has_author_F', 'markdown_prop_med', 'longer_ending_F'})",4
401,0.5120034919249236,"({'has_equation_F', 'has_author_F', 'exec_skips_lower', 'longer_ending_F'})",4
402,0.5098210388476647,"({'has_equation_F', 'has_author_F', 'has_error_F', 'longer_ending_F'})",4
408,0.5032736796158882,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower', 'longer_ending_F'})",4
409,0.5041466608467918,"({'has_author_F', 'jupyter_prop_high', 'has_error_F', 'longer_ending_F'})",4
412,0.5229157573112178,"({'has_author_F', 'markdown_prop_med', 'num_commits_lower', 'longer_ending_F'})",4
415,0.5063291139240507,"({'has_author_F', 'markdown_prop_med', 'exec_skips_lower', 'longer_ending_F'})",4
416,0.5085115670013095,"({'has_author_F', 'has_error_F', 'longer_ending_F', 'markdown_prop_med'})",4
438,0.5015277171540812,"({'has_equation_F', 'jupyter_prop_high', 'longer_ending_F', 'num_contrib_lower'})",4
446,0.5085115670013095,"({'exec_inorder_higher', 'has_equation_F', 'exec_skips_lower', 'longer_ending_F'})",4
447,0.50371017023134,"({'exec_inorder_higher', 'has_equation_F', 'has_error_F', 'longer_ending_F'})",4
452,0.501964207769533,"({'jupyter_prop_high', 'has_error_F', 'longer_ending_F', 'num_contrib_lower'})",4
456,0.5067656045395024,"({'exec_inorder_higher', 'jupyter_prop_high', 'exec_skips_lower', 'longer_ending_F'})",4
457,0.5045831514622435,"({'exec_inorder_higher', 'jupyter_prop_high', 'has_error_F', 'longer_ending_F'})",4
459,0.5128764731558272,"({'num_commits_lower', 'markdown_prop_med', 'longer_ending_F', 'num_contrib_lower'})",4
460,0.5154954168485377,"({'non_exec_prop_low', 'markdown_prop_med', 'longer_ending_F', 'num_contrib_lower'})",4
463,0.5124399825403754,"({'exec_inorder_higher', 'markdown_prop_med', 'num_commits_lower', 'longer_ending_F'})",4
465,0.505456132693147,"({'exec_inorder_higher', 'markdown_prop_med', 'exec_skips_lower', 'longer_ending_F'})",4
466,0.5010912265386294,"({'exec_inorder_higher', 'has_error_F', 'longer_ending_F', 'markdown_prop_med'})",4
471,0.5216062854648625,"({'num_contrib_lower', 'has_error_F', 'has_comments_T', 'longer_ending_F'})",4
477,0.5098210388476647,"({'exec_skips_lower', 'longer_ending_F', 'non_exec_prop_low', 'num_contrib_lower'})",4
481,0.50371017023134,"({'exec_skips_lower', 'has_error_F', 'longer_ending_F', 'num_contrib_lower'})",4
482,0.5089480576167612,"({'non_exec_prop_low', 'has_comments_T', 'num_commits_lower', 'longer_ending_F'})",4
578,0.5120034919249236,"({'num_contrib_lower', 'has_author_F', 'num_commits_lower', 'has_links_F'})",4
579,0.5185508511567001,"({'num_contrib_lower', 'has_author_F', 'non_exec_prop_low', 'has_links_F'})",4
580,0.5412483631601921,"({'exec_inorder_higher', 'has_author_F', 'has_links_F', 'num_contrib_lower'})",4
581,0.5089480576167612,"({'num_contrib_lower', 'has_author_F', 'has_comments_T', 'has_title_T'})",4
587,0.5146224356176342,"({'num_contrib_lower', 'has_author_F', 'num_commits_lower', 'has_title_T'})",4
588,0.505456132693147,"({'num_contrib_lower', 'has_author_F', 'non_exec_prop_low', 'has_title_T'})",4
589,0.5491051942383238,"({'exec_inorder_higher', 'has_author_F', 'has_title_T', 'num_contrib_lower'})",4
600,0.5067656045395024,"({'exec_inorder_higher', 'has_author_F', 'has_comments_T', 'has_links_F'})",4
601,0.516804888694893,"({'exec_inorder_higher', 'has_author_F', 'num_commits_lower', 'has_links_F'})",4
602,0.5233522479266696,"({'exec_inorder_higher', 'has_author_F', 'non_exec_prop_low', 'has_links_F'})",4
603,0.5032736796158882,"({'exec_inorder_higher', 'has_author_F', 'exec_skips_lower', 'has_links_F'})",4
604,0.5229157573112178,"({'exec_inorder_higher', 'has_author_F', 'has_comments_T', 'has_title_T'})",4
615,0.516804888694893,"({'exec_inorder_higher', 'has_author_F', 'num_commits_lower', 'has_title_T'})",4
616,0.5141859450021824,"({'exec_inorder_higher', 'has_author_F', 'non_exec_prop_low', 'has_title_T'})",4
617,0.5106940200785683,"({'exec_inorder_higher', 'has_author_F', 'exec_skips_lower', 'has_title_T'})",4
618,0.51113051069402,"({'exec_inorder_higher', 'has_author_F', 'has_error_F', 'has_title_T'})",4
637,0.509384548232213,"({'has_equation_F', 'jupyter_prop_high', 'has_comments_T', 'num_commits_lower'})",4
638,0.501964207769533,"({'has_equation_F', 'jupyter_prop_high', 'has_comments_T', 'non_exec_prop_low'})",4
642,0.5032736796158882,"({'has_equation_F', 'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower'})",4
653,0.5216062854648625,"({'has_equation_F', 'has_comments_T', 'non_exec_prop_low', 'markdown_prop_med'})",4
655,0.5067656045395024,"({'has_equation_F', 'has_comments_T', 'exec_skips_lower', 'markdown_prop_med'})",4
656,0.5045831514622435,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'markdown_prop_med'})",4
657,0.515058926233086,"({'non_exec_prop_low', 'has_equation_F', 'num_commits_lower', 'markdown_prop_med'})",4
659,0.505456132693147,"({'has_equation_F', 'exec_skips_lower', 'num_commits_lower', 'markdown_prop_med'})",4
660,0.5006547359231777,"({'has_equation_F', 'has_error_F', 'num_commits_lower', 'markdown_prop_med'})",4
662,0.5032736796158882,"({'has_equation_F', 'has_error_F', 'non_exec_prop_low', 'markdown_prop_med'})",4
685,0.5102575294631165,"({'has_equation_F', 'exec_skips_lower', 'has_comments_T', 'non_exec_prop_low'})",4
709,0.5058926233085989,"({'jupyter_prop_high', 'has_comments_T', 'exec_skips_lower', 'markdown_prop_med'})",4
710,0.5089480576167612,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'markdown_prop_med'})",4
713,0.509384548232213,"({'num_commits_lower', 'jupyter_prop_high', 'exec_skips_lower', 'markdown_prop_med'})",4
714,0.5115670013094719,"({'jupyter_prop_high', 'has_error_F', 'num_commits_lower', 'markdown_prop_med'})",4
716,0.50371017023134,"({'jupyter_prop_high', 'has_error_F', 'non_exec_prop_low', 'markdown_prop_med'})",4
719,0.5002182453077259,"({'jupyter_prop_high', 'has_error_F', 'exec_skips_lower', 'markdown_prop_med'})",4
740,0.5032736796158882,"({'jupyter_prop_high', 'has_comments_T', 'exec_skips_lower', 'non_exec_prop_low'})",4
753,0.5072020951549542,"({'jupyter_prop_high', 'exec_skips_lower', 'has_error_F', 'non_exec_prop_low'})",4
790,0.50371017023134,"({'exec_inorder_higher', 'has_links_F', 'num_commits_lower', 'num_contrib_lower'})",4
791,0.5080750763858577,"({'exec_inorder_higher', 'has_links_F', 'non_exec_prop_low', 'num_contrib_lower'})",4
792,0.5216062854648625,"({'exec_inorder_higher', 'has_title_T', 'has_comments_T', 'num_contrib_lower'})",4
803,0.5207333042339589,"({'exec_inorder_higher', 'has_title_T', 'num_commits_lower', 'num_contrib_lower'})",4
804,0.5181143605412484,"({'exec_inorder_higher', 'has_title_T', 'non_exec_prop_low', 'num_contrib_lower'})",4
805,0.5067656045395024,"({'exec_inorder_higher', 'has_error_F', 'has_title_T', 'num_contrib_lower'})",4
831,0.5067656045395024,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'longer_ending_F'})",5
832,0.5141859450021824,"({'has_equation_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'longer_ending_F'})",5
833,0.5085115670013095,"({'has_equation_F', 'has_author_F', 'num_contrib_lower', 'longer_ending_F', 'non_exec_prop_low'})",5
834,0.5390659100829333,"({'has_equation_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
835,0.5098210388476647,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F'})",5
836,0.5146224356176342,"({'has_equation_F', 'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
837,0.509384548232213,"({'has_equation_F', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",5
838,0.5080750763858577,"({'jupyter_prop_high', 'has_comments_T', 'has_author_F', 'num_contrib_lower', 'longer_ending_F'})",5
839,0.5194238323876037,"({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'longer_ending_F'})",5
840,0.5076385857704059,"({'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'longer_ending_F', 'non_exec_prop_low'})",5
841,0.5403753819292885,"({'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
842,0.5028371890004365,"({'jupyter_prop_high', 'has_comments_T', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F'})",5
843,0.51113051069402,"({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
844,0.5041466608467918,"({'has_comments_T', 'has_author_F', 'num_contrib_lower', 'markdown_prop_med', 'longer_ending_F'})",5
845,0.5255347010039284,"({'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'markdown_prop_med', 'longer_ending_F'})",5
846,0.5102575294631165,"({'has_comments_T', 'has_author_F', 'markdown_prop_med', 'exec_inorder_higher', 'longer_ending_F'})",5
847,0.5006547359231777,"({'has_author_F', 'markdown_prop_med', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",5
853,0.5098210388476647,"({'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'longer_ending_F', 'exec_skips_lower'})",5
854,0.5106940200785683,"({'has_error_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'longer_ending_F'})",5
856,0.5085115670013095,"({'has_error_F', 'has_author_F', 'num_contrib_lower', 'longer_ending_F', 'non_exec_prop_low'})",5
857,0.5429943256219991,"({'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
858,0.5408118725447403,"({'has_error_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
861,0.5172413793103449,"({'has_comments_T', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
862,0.5098210388476647,"({'has_error_F', 'has_comments_T', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F'})",5
864,0.5211697948494107,"({'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
865,0.5141859450021824,"({'has_error_F', 'has_author_F', 'num_commits_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
866,0.5102575294631165,"({'has_author_F', 'non_exec_prop_low', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
867,0.5146224356176342,"({'has_error_F', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",5
868,0.5067656045395024,"({'has_error_F', 'has_author_F', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
869,0.501964207769533,"({'has_equation_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
870,0.5041466608467918,"({'jupyter_prop_high', 'has_comments_T', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
871,0.5128764731558272,"({'jupyter_prop_high', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
872,0.5010912265386294,"({'jupyter_prop_high', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",5
875,0.5015277171540812,"({'has_comments_T', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
877,0.5089480576167612,"({'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'exec_skips_lower'})",5
878,0.5072020951549542,"({'has_error_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F'})",5
879,0.5058926233085989,"({'has_error_F', 'num_contrib_lower', 'exec_inorder_higher', 'longer_ending_F', 'non_exec_prop_low'})",5
880,0.5058926233085989,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'markdown_prop_med'})",5
881,0.5072020951549542,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'markdown_prop_med', 'exec_inorder_higher'})",5
886,0.5124399825403754,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'exec_skips_lower'})",5
887,0.5076385857704059,"({'has_equation_F', 'jupyter_prop_high', 'has_error_F', 'has_author_F', 'num_contrib_lower'})",5
889,0.5015277171540812,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'non_exec_prop_low'})",5
892,0.5255347010039284,"({'has_equation_F', 'jupyter_prop_high', 'has_author_F', 'exec_inorder_higher', 'exec_skips_lower'})",5
893,0.5141859450021824,"({'has_equation_F', 'jupyter_prop_high', 'has_error_F', 'has_author_F', 'exec_inorder_higher'})",5
899,0.509384548232213,"({'has_equation_F', 'has_error_F', 'has_author_F', 'num_contrib_lower', 'markdown_prop_med'})",5
900,0.5010912265386294,"({'has_equation_F', 'has_comments_T', 'has_author_F', 'num_commits_lower', 'markdown_prop_med'})",5
905,0.5246617197730249,"({'has_equation_F', 'has_error_F', 'has_author_F', 'markdown_prop_med', 'exec_inorder_higher'})",5
924,0.5080750763858577,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'has_author_F', 'num_commits_lower'})",5
926,0.5028371890004365,"({'has_equation_F', 'has_error_F', 'has_comments_T', 'has_author_F', 'non_exec_prop_low'})",5
937,0.5002182453077259,"({'has_equation_F', 'has_error_F', 'has_author_F', 'non_exec_prop_low', 'exec_skips_lower'})",5
945,0.5098210388476647,"({'jupyter_prop_high', 'has_comments_T', 'has_author_F', 'num_commits_lower', 'markdown_prop_med'})",5
946,0.5024006983849847,"({'jupyter_prop_high', 'has_comments_T', 'has_author_F', 'markdown_prop_med', 'non_exec_prop_low'})",5
948,0.5002182453077259,"({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
971,0.5098210388476647,"({'jupyter_prop_high', 'has_error_F', 'has_comments_T', 'has_author_F', 'num_commits_lower'})",5
976,0.5024006983849847,"({'jupyter_prop_high', 'has_author_F', 'num_commits_lower', 'non_exec_prop_low', 'exec_skips_lower'})",5
977,0.5128764731558272,"({'jupyter_prop_high', 'has_error_F', 'has_author_F', 'num_commits_lower', 'non_exec_prop_low'})",5
980,0.5120034919249236,"({'jupyter_prop_high', 'has_error_F', 'has_author_F', 'num_commits_lower', 'exec_skips_lower'})",5
1002,0.5189873417721519,"({'has_error_F', 'has_comments_T', 'has_author_F', 'num_commits_lower', 'markdown_prop_med'})",5
1010,0.5137494543867307,"({'has_author_F', 'num_commits_lower', 'non_exec_prop_low', 'markdown_prop_med', 'exec_skips_lower'})",5
1011,0.5220427760803142,"({'has_error_F', 'has_author_F', 'num_commits_lower', 'markdown_prop_med', 'non_exec_prop_low'})",5
1017,0.5102575294631165,"({'has_error_F', 'has_author_F', 'non_exec_prop_low', 'markdown_prop_med', 'exec_skips_lower'})",5
1047,0.5255347010039284,"({'has_error_F', 'has_comments_T', 'has_author_F', 'non_exec_prop_low', 'exec_skips_lower'})",5
1057,0.5120034919249236,"({'has_equation_F', 'jupyter_prop_high', 'num_contrib_lower', 'exec_inorder_higher', 'exec_skips_lower'})",5
1058,0.50371017023134,"({'has_equation_F', 'jupyter_prop_high', 'has_error_F', 'num_contrib_lower', 'exec_inorder_higher'})",5
1059,0.5006547359231777,"({'has_equation_F', 'has_comments_T', 'num_commits_lower', 'num_contrib_lower', 'markdown_prop_med'})",5
