,support,itemsets,length
0,0.9911439114391144,frozenset({'has_author_F'}),1
1,0.6715867158671587,frozenset({'jupyter_prop_high'}),1
2,0.9129151291512915,frozenset({'num_contrib_lower'}),1
3,0.6760147601476014,frozenset({'image_prop_low'}),1
4,0.8922509225092251,frozenset({'is_education_F'}),1
5,0.6782287822878229,frozenset({'has_comments_T'}),1
6,0.7690036900369004,frozenset({'num_commits_lower'}),1
7,0.9217712177121771,frozenset({'non_exec_prop_lower'}),1
8,0.8892988929889298,frozenset({'exec_inorder_higher'}),1
9,0.870110701107011,frozenset({'exec_skips_lower'}),1
10,0.8405904059040591,frozenset({'has_error_F'}),1
11,0.6693726937269373,"frozenset({'jupyter_prop_high', 'has_author_F'})",2
12,0.9047970479704797,"frozenset({'has_author_F', 'num_contrib_lower'})",2
13,0.6678966789667896,"frozenset({'has_author_F', 'image_prop_low'})",2
14,0.8833948339483395,"frozenset({'is_education_F', 'has_author_F'})",2
15,0.6693726937269373,"frozenset({'has_author_F', 'has_comments_T'})",2
16,0.7616236162361624,"frozenset({'num_commits_lower', 'has_author_F'})",2
17,0.9166051660516605,"frozenset({'non_exec_prop_lower', 'has_author_F'})",2
18,0.8811808118081181,"frozenset({'exec_inorder_higher', 'has_author_F'})",2
19,0.8619926199261992,"frozenset({'exec_skips_lower', 'has_author_F'})",2
20,0.8339483394833949,"frozenset({'has_error_F', 'has_author_F'})",2
21,0.614760147601476,"frozenset({'jupyter_prop_high', 'num_contrib_lower'})",2
22,0.6103321033210332,"frozenset({'jupyter_prop_high', 'is_education_F'})",2
23,0.5269372693726937,"frozenset({'jupyter_prop_high', 'num_commits_lower'})",2
24,0.6228782287822878,"frozenset({'jupyter_prop_high', 'non_exec_prop_lower'})",2
25,0.6022140221402214,"frozenset({'exec_inorder_higher', 'jupyter_prop_high'})",2
26,0.5874538745387454,"frozenset({'jupyter_prop_high', 'exec_skips_lower'})",2
27,0.5542435424354244,"frozenset({'jupyter_prop_high', 'has_error_F'})",2
28,0.6044280442804428,"frozenset({'image_prop_low', 'num_contrib_lower'})",2
29,0.8103321033210332,"frozenset({'is_education_F', 'num_contrib_lower'})",2
30,0.6199261992619927,"frozenset({'num_contrib_lower', 'has_comments_T'})",2
31,0.7114391143911439,"frozenset({'num_commits_lower', 'num_contrib_lower'})",2
32,0.8398523985239852,"frozenset({'non_exec_prop_lower', 'num_contrib_lower'})",2
33,0.8066420664206642,"frozenset({'exec_inorder_higher', 'num_contrib_lower'})",2
34,0.7867158671586716,"frozenset({'exec_skips_lower', 'num_contrib_lower'})",2
35,0.7579335793357933,"frozenset({'has_error_F', 'num_contrib_lower'})",2
36,0.6,"frozenset({'is_education_F', 'image_prop_low'})",2
37,0.5424354243542435,"frozenset({'num_commits_lower', 'image_prop_low'})",2
38,0.6014760147601476,"frozenset({'non_exec_prop_lower', 'image_prop_low'})",2
39,0.6110701107011071,"frozenset({'exec_inorder_higher', 'image_prop_low'})",2
