,support,itemsets,length
64,0.5247232472324723,"({'has_author_F', 'jupyter_prop_high', 'num_commits_lower'})",3
78,0.5350553505535055,"({'has_author_F', 'image_prop_low', 'num_commits_lower'})",3
110,0.5003690036900369,"({'jupyter_prop_high', 'has_error_F', 'is_education_F'})",3
166,0.5003690036900369,"({'has_error_F', 'has_comments_T', 'exec_skips_lower'})",3
180,0.529889298892989,"({'has_author_F', 'jupyter_prop_high', 'exec_skips_lower', 'num_contrib_lower'})",4
183,0.5306273062730628,"({'has_author_F', 'jupyter_prop_high', 'is_education_F', 'exec_skips_lower'})",4
185,0.5365313653136531,"({'non_exec_prop_lower', 'has_author_F', 'jupyter_prop_high', 'exec_skips_lower'})",4
186,0.5055350553505535,"({'non_exec_prop_lower', 'has_author_F', 'has_error_F', 'jupyter_prop_high'})",4
187,0.5387453874538746,"({'exec_inorder_higher', 'has_author_F', 'jupyter_prop_high', 'exec_skips_lower'})",4
188,0.5077490774907749,"({'exec_inorder_higher', 'has_author_F', 'jupyter_prop_high', 'has_error_F'})",4
189,0.5239852398523985,"({'has_author_F', 'image_prop_low', 'is_education_F', 'num_contrib_lower'})",4
190,0.5306273062730628,"({'non_exec_prop_lower', 'has_author_F', 'image_prop_low', 'num_contrib_lower'})",4
191,0.5335793357933579,"({'exec_inorder_higher', 'has_author_F', 'image_prop_low', 'num_contrib_lower'})",4
192,0.5269372693726937,"({'has_author_F', 'image_prop_low', 'exec_skips_lower', 'num_contrib_lower'})",4
193,0.5431734317343173,"({'has_author_F', 'is_education_F', 'has_comments_T', 'num_contrib_lower'})",4
199,0.5594095940959409,"({'non_exec_prop_lower', 'has_author_F', 'has_comments_T', 'num_contrib_lower'})",4
200,0.5350553505535055,"({'exec_inorder_higher', 'has_author_F', 'has_comments_T', 'num_contrib_lower'})",4
201,0.5151291512915129,"({'has_author_F', 'has_comments_T', 'exec_skips_lower', 'num_contrib_lower'})",4
202,0.5033210332103321,"({'has_author_F', 'has_error_F', 'has_comments_T', 'num_contrib_lower'})",4
213,0.5321033210332103,"({'non_exec_prop_lower', 'has_author_F', 'image_prop_low', 'is_education_F'})",4
214,0.5350553505535055,"({'exec_inorder_higher', 'has_author_F', 'image_prop_low', 'is_education_F'})",4
215,0.5261992619926199,"({'has_author_F', 'image_prop_low', 'is_education_F', 'exec_skips_lower'})",4
216,0.5328413284132841,"({'exec_inorder_higher', 'non_exec_prop_lower', 'has_author_F', 'image_prop_low'})",4
217,0.5254612546125461,"({'non_exec_prop_lower', 'has_author_F', 'image_prop_low', 'exec_skips_lower'})",4
218,0.5490774907749078,"({'exec_inorder_higher', 'has_author_F', 'image_prop_low', 'exec_skips_lower'})",4
219,0.5173431734317343,"({'exec_inorder_higher', 'has_author_F', 'image_prop_low', 'has_error_F'})",4
220,0.5084870848708487,"({'has_author_F', 'image_prop_low', 'has_error_F', 'exec_skips_lower'})",4
221,0.5476014760147602,"({'non_exec_prop_lower', 'has_author_F', 'is_education_F', 'has_comments_T'})",4
222,0.522509225092251,"({'exec_inorder_higher', 'has_author_F', 'is_education_F', 'has_comments_T'})",4
223,0.5062730627306273,"({'has_author_F', 'is_education_F', 'has_comments_T', 'exec_skips_lower'})",4
234,0.5328413284132841,"({'exec_inorder_higher', 'non_exec_prop_lower', 'has_author_F', 'has_comments_T'})",4
235,0.5136531365313654,"({'non_exec_prop_lower', 'has_author_F', 'has_comments_T', 'exec_skips_lower'})",4
236,0.5003690036900369,"({'non_exec_prop_lower', 'has_author_F', 'has_error_F', 'has_comments_T'})",4
237,0.522509225092251,"({'exec_inorder_higher', 'has_author_F', 'has_comments_T', 'exec_skips_lower'})",4
238,0.5011070110701107,"({'exec_inorder_higher', 'has_author_F', 'has_error_F', 'has_comments_T'})",4
252,0.5018450184501845,"({'non_exec_prop_lower', 'is_education_F', 'has_comments_T', 'num_contrib_lower'})",4
288,0.5173431734317343,"({'non_exec_prop_lower', 'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'is_education_F'})",5
289,0.5018450184501845,"({'non_exec_prop_lower', 'jupyter_prop_high', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher'})",5
290,0.5040590405904058,"({'non_exec_prop_lower', 'jupyter_prop_high', 'has_author_F', 'exec_inorder_higher', 'is_education_F'})",5
291,0.5771217712177121,"({'non_exec_prop_lower', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'is_education_F'})",5
292,0.5490774907749078,"({'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'exec_inorder_higher', 'is_education_F'})",5
293,0.5409594095940959,"({'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'is_education_F', 'exec_skips_lower'})",5
294,0.5011070110701107,"({'has_error_F', 'has_author_F', 'num_commits_lower', 'num_contrib_lower', 'is_education_F'})",5
295,0.6464944649446495,"({'non_exec_prop_lower', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'is_education_F'})",5
296,0.6265682656826568,"({'non_exec_prop_lower', 'has_author_F', 'num_contrib_lower', 'is_education_F', 'exec_skips_lower'})",5
297,0.6014760147601476,"({'non_exec_prop_lower', 'has_error_F', 'has_author_F', 'num_contrib_lower', 'is_education_F'})",5
298,0.6280442804428045,"({'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'is_education_F', 'exec_skips_lower'})",5
299,0.5955719557195572,"({'has_error_F', 'has_author_F', 'num_contrib_lower', 'exec_inorder_higher', 'is_education_F'})",5
