nb_id,repo_id,err_in
1002342,29721163,api
1004322,72808162,api
1010017,89438537,no_code
1012486,89099984,num_projects
1012486,89099984,num_ds_projects
1012486,89099984,num_followers
1012486,89099984,account_age
1012797,72123088,api
1012825,86170615,api
1013068,72123088,api
1013084,86170615,api
101340,66478811,no_code
101425,80116644,no_code
101428,41753170,no_code
1014512,46978120,api
1014833,70265123,num_projects
1014833,70265123,num_ds_projects
1014833,70265123,num_followers
1014833,70265123,account_age
101487,59383520,no_code
1015936,72123088,api
1016234,72123088,api
1016480,46978120,api
1016839,72123088,api
1017551,76853073,api
1017552,76853073,api
1018468,72123088,api
1018469,72123088,api
1018662,39704412,api
1018760,72123088,api
1018761,72123088,api
1018762,72123088,api
1018763,72123088,api
1018764,72123088,api
1018875,72123088,api
1018876,72123088,api
1018877,72123088,api
1019253,64794951,num_projects
1019253,64794951,num_ds_projects
1019253,64794951,num_followers
1019253,64794951,account_age
1019714,89099984,num_projects
1019714,89099984,num_ds_projects
1019714,89099984,num_followers
1019714,89099984,account_age
1021477,82157744,no_code
1022001,72212570,api
1022564,78016003,api
1023150,72123088,api
1023448,72123088,api
1023569,72123088,api
1025541,76140350,api
1025974,72123088,api
1025975,72123088,api
1026964,72123088,api
1027256,76670855,no_code
102885,39704412,api
102886,39704412,api
1033161,15124520,no_code
103332,72123088,api
1033375,15124520,no_code
1034341,36578950,num_projects
1034341,36578950,num_ds_projects
1034341,36578950,num_followers
1034341,36578950,account_age
1034788,87916053,api
103622,84963981,api
1037665,72123088,api
1042326,46978120,api
1043280,90853836,api
1043739,90853836,api
1044707,50542516,api
1045344,65024071,api
1046339,93647670,api
1046570,39704412,api
1048857,39704412,api
105158,39704412,api
1052272,96816927,api
1052491,96816927,api
1054080,36578950,num_projects
1054080,36578950,num_ds_projects
1054080,36578950,num_followers
1054080,36578950,account_age
1054081,36578950,num_projects
1054081,36578950,num_ds_projects
1054081,36578950,num_followers
1054081,36578950,account_age
1054804,44319376,num_projects
1054804,44319376,num_ds_projects
1054804,44319376,num_followers
1054804,44319376,account_age
1055071,72123088,api
1055901,89605633,api
1056423,72123088,api
1056827,58432976,api
1057064,72123088,api
1057342,72123088,api
1057787,71765795,num_projects
1057787,71765795,num_ds_projects
1057787,71765795,num_followers
1057787,71765795,account_age
1058446,58432976,api
1060107,89605633,api
1062054,72123088,api
106780,76670855,no_code
1067868,77442819,api
1068322,84131336,api
106841,76670855,no_code
1069170,72123088,api
1070789,50491352,api
1072181,46978120,api
1072215,75555399,api
1072544,89099984,num_projects
1072544,89099984,num_ds_projects
1072544,89099984,num_followers
1072544,89099984,account_age
1075047,70417701,api
107660,46978120,api
1077020,89605633,api
107772,39704412,api
1078040,63450709,no_code
1078706,44319376,num_projects
1078706,44319376,num_ds_projects
1078706,44319376,num_followers
1078706,44319376,account_age
1084366,72123088,api
108635,96816927,api
108636,96816927,api
1086883,96816927,api
1087152,96816927,api
1088407,72123088,api
1088408,72123088,api
1088481,72123088,api
1089469,29721163,no_code
1090811,72123088,api
1090812,72123088,api
1090813,72123088,api
1090914,90853836,api
1091027,72123088,api
1091028,72123088,api
1092108,72123088,api
1093300,78300301,api
1093476,65024071,api
1096894,72123088,api
1097043,84131336,api
1097161,72123088,api
1097242,91951566,api
1098149,65024071,api
1101012,50542516,no_code
1102252,44220745,no_code
1102493,29721163,api
1103136,72123088,api
1109280,87916053,api
1109281,87916053,api
1110101,85843700,no_code
1110161,86170615,api
111058,46978120,api
1111255,46978120,api
1111489,78854314,api
1111612,78854314,api
1113987,72123088,api
1115027,93944162,nb_file
1115112,72123088,api
1115277,47832201,no_code
1117112,78300301,api
1117462,72590259,api
1117792,76670855,no_code
1118993,95004508,no_code
1119689,90853836,api
1121768,72123088,api
1121915,76140350,api
1122,72123088,api
1127315,74751362,api
1127370,89099984,num_projects
1127370,89099984,num_ds_projects
1127370,89099984,num_followers
1127370,89099984,account_age
1127899,75093696,num_projects
1127899,75093696,num_ds_projects
1127899,75093696,num_followers
1127899,75093696,account_age
1128898,78300301,api
1130084,89605633,api
1131643,72123088,api
1134404,78016003,api
1135857,83615166,api
1135858,83615166,api
1136291,72123088,api
1136292,72123088,api
1137533,39704412,api
1137534,39704412,api
1137702,39704412,api
1137703,39704412,api
1137814,90298172,api
1137941,39310916,api
1137983,29721163,api
1138171,39310916,api
1138317,72123088,api
1141796,16646759,num_projects
1141796,16646759,num_ds_projects
1141796,16646759,num_followers
1141796,16646759,account_age
1142716,89605633,api
1142728,72123088,api
1143494,39704412,api
1143495,39704412,api
1145680,25204651,no_code
1146397,85843700,no_code
1146402,51733171,api
1146403,51733171,api
1146513,85843700,no_code
1151077,83615166,api
1151310,83615166,api
1151438,72123088,api
1151439,72123088,api
