nb_id,repo_id,num_projects,num_ds_projects,num_followers,account_age
1000546,70752864,86,27,4,7
1000590,92964180,12,4,0,5
1000623,90007255,60,6,6,8
1001147,80488185,43,1,40,10
1001280,24748843,26,0,7,7
1001333,36200517,1,0,0,6
1001500,61883811,2,0,0,7
1001543,74897953,22,9,64,6
1001650,74897953,22,9,64,6
1002462,26829069,11,0,3,8
1002463,26829069,11,0,3,8
1002479,93934595,9,1,9,4
1002676,12488872,14,0,4,12
1004567,51506807,13,1,1,9
1004983,16264060,21,2,42,11
1005141,29408527,28,2,60,9
1005326,60880099,40,18,11,6
1005909,84145125,35,3,1,7
1005910,90480464,35,12,0,5
100644,45961260,3,1,0,6
1006604,84522996,57,6,15,13
1006623,95175467,50,23,1,9
1006783,75567150,7,3,0,5
1007250,38832773,23,2,17,10
1007363,68767533,10,8,0,5
100751,40994223,98,21,93,8
1007699,68741949,22,2,17,6
1007740,47644193,35,7,10,6
1007741,47644193,35,7,10,6
100841,39964941,7,4,1,7
1008479,22551349,11,1,55,10
1008785,29982328,18,3,17,6
1008828,47644193,35,7,10,6
1008907,47644193,35,7,10,6
100938,33995773,24,1,4,9
1009478,83947009,71,7,19,6
1009479,83947009,71,7,19,6
1009537,95140333,23,16,51,5
101059,55179614,7,6,2,6
101060,55179614,7,6,2,6
1010702,81791748,25,7,3,8
1010865,63446742,22,4,6,10
1011216,92607036,6,2,1,7
1011562,95175467,50,23,1,9
1012240,55952847,127,16,54,10
1012486,89099984,,,,
1012605,59786452,6,3,4,6
1012701,70752864,86,27,4,7
1012785,28175756,34,8,16,9
1012921,54762665,7,2,0,6
1013053,84145125,35,3,1,7
1013054,90480464,35,12,0,5
1013074,53065713,12,2,40,10
1013283,74738329,3,2,0,5
1013394,76178115,41,1,13,7
10135,89024985,40,14,19,8
1013983,52626322,13,2,2,6
1014095,54361124,61,8,43,7
1014564,93292118,131,16,227,5
1014833,70265123,,,,
10149,87641713,46,25,30,5
1015661,91499355,57,2,8,10
1016538,39964941,7,4,1,7
1016597,43813691,4,0,2,7
1016950,75567150,7,3,0,5
1017300,52626322,13,2,2,6
1017432,69056869,71,13,7,7
1017688,69742672,11,3,4,7
1018009,52626322,13,2,2,6
101801,43584002,86,26,320,7
1018177,20816340,2,1,3,7
1018189,39974245,37,2,0,7
1018256,64769359,10,1,4,5
1018713,64769359,10,1,4,5
1018957,75626605,19,4,7,6
1019068,88134043,24,2,15,8
1019151,68390683,73,66,14,6
1019165,21268379,41,0,123,11
1019253,64794951,,,,
1019714,89099984,,,,
1019969,39974245,37,2,0,7
1020535,95890486,12,3,4,5
1020713,81791748,25,7,3,8
1020714,81791748,25,7,3,8
1021518,42850227,10,2,1,6
1021605,43584002,86,26,320,7
102165,47465027,12,1,3,7
1021911,43486388,3,2,0,6
1022321,59801052,4,2,1,5
1022395,47583155,2,1,0,6
1022476,68233974,19,11,0,5
1022553,52626322,13,2,2,6
1022569,76178115,41,1,13,7
1022598,47583155,2,1,0,6
1022699,52626322,13,2,2,6
1022744,69056869,71,13,7,7
1023526,22551349,11,1,55,10
102377,93659719,18,1,7,7
1024456,94304084,9,5,0,4
102450,64178137,19,3,2,8
1024618,45655960,29,1,14,7
1024735,83947009,71,7,19,6
1024736,83947009,71,7,19,6
1024901,33995773,24,1,4,9
102532,65095968,0,0,1,3
1025582,52626322,13,2,2,6
1025639,85972539,10,1,5,8
1025896,61019926,8,6,2,9
1025899,52416266,53,6,62,7
102621,65095968,0,0,1,3
1026818,52626322,13,2,2,6
1026857,93934595,9,1,9,4
102708,74897953,22,9,64,6
1027272,37127904,60,0,5,7
1027281,83922951,37,9,15,7
1027385,24004778,24,1,20,8
1027960,70038818,2,1,3,6
1028230,81791748,25,7,3,8
1028231,81791748,25,7,3,8
1028293,40293216,72,46,0,7
1028585,77741334,172,1,5,7
1028645,25423693,31,0,12,10
1028794,93965316,212,1,74,11
1029039,29982328,18,3,17,6
1029262,52626322,13,2,2,6
102948,74897953,22,9,64,6
1030143,47644193,35,7,10,6
1030450,49469452,27,3,10,9
103058,52626322,13,2,2,6
1030642,41806912,10,3,6,8
1030886,90480464,35,12,0,5
1030913,93096500,3,2,0,7
1030914,93096500,3,2,0,7
1031421,71140167,19,9,11,8
103154,30734070,72,46,0,7
1032257,66453801,145,26,3,5
103234,76065931,8,3,3,5
1032561,36559244,43,0,0,6
1033143,16075144,40,9,0,7
1033279,23371881,77,10,0,8
1033448,81791748,25,7,3,8
1033449,81791748,25,7,3,8
1033754,74897953,22,9,64,6
103380,60057963,35,2,104,7
1033970,77238503,29,3,26,9
1034341,36578950,,,,
1034441,26829069,11,0,3,8
1034442,26829069,11,0,3,8
1034649,60880099,40,18,11,6
1034885,43430871,46,4,22,9
1034886,43430871,46,4,22,9
1034894,60880099,40,18,11,6
1034973,89198996,67,38,31,6
1035198,55952847,127,16,54,10
1036970,87271643,1,0,0,4
1037092,95175467,50,23,1,9
