nb_id,repo_id,err_in
116896,66478811,language
329885,34647497,language
408548,93282436,api
484614,95004508,no_code
806977,93647670,api
160930,29998194,api
964194,72123088,api
363276,72123088,api
1044503,59383520,language
657882,66478811,language
1002342,29721163,api
182074,36578950,has_author
425556,56424681,no_code
119233,33995773,no_code
1101012,50542516,no_code
501236,46978120,api
303674,29998194,api
771420,72123088,api
1097242,91951566,api
414551,72123088,api
1044436,80116644,language
1231147,72123088,api
842777,36578950,has_author
1069170,72123088,api
547712,91951566,api
136585,41753170,language
994317,72123088,api
142647,72123088,api
786599,72123088,api
841352,85950305,api
1247073,41753170,language
106780,76670855,no_code
469269,43584002,no_code
458948,72123088,api
748573,96816927,api
1182699,93597541,has_author
1018876,72123088,api
